ensembl_gene_id,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000001244,REEP2,59.33754289,5.425948515,1.274129559,4.258553203,2.06E-05,0.010595134
ENSCAFG00000024609,CNTN2,513.4482146,-7.265605191,1.704839799,-4.261752451,2.03E-05,0.010595134
ENSCAFG00000013440,ADAM8,674.6598287,4.258820195,1.007188881,4.228422569,2.35E-05,0.011772153
ENSCAFG00000013169,SP3,2076.702783,-0.624359735,0.148169053,-4.213833605,2.51E-05,0.012210482
ENSCAFG00000016576,SEPTIN1,339.4627065,-6.05396535,1.442233231,-4.197632685,2.70E-05,0.012762841
ENSCAFG00000008269,IL17RB,203.6877702,-4.656525261,1.115714574,-4.1735811,3.00E-05,0.013815141
ENSCAFG00000018251,PDE6A,73.66244705,5.286920037,1.272093642,4.156077715,3.24E-05,0.014534232
ENSCAFG00000020354,CARMIL2,1306.453671,-5.229902124,1.261177995,-4.146839023,3.37E-05,0.014754731
ENSCAFG00000005505,PGM2L1,80.06161491,-1.557401336,0.377645264,-4.123979525,3.72E-05,0.01590162
ENSCAFG00000042655,NA,7.721167718,6.100333602,1.496093513,4.077508223,4.55E-05,0.018975721
ENSCAFG00000003487,SLC66A3,1028.567383,-1.41983917,0.348703246,-4.071769296,4.67E-05,0.018997149
ENSCAFG00000015053,SPINDOC,617.415727,-0.943735892,0.232882198,-4.052417482,5.07E-05,0.019860489
ENSCAFG00000029883,SLC25A36,464.3056658,-0.671326122,0.165727489,-4.050783168,5.10E-05,0.019860489
ENSCAFG00000028912,CD300H,236.3871741,12.10804232,2.995024953,4.042718344,5.28E-05,0.020109488
ENSCAFG00000004165,NDNF,358.0230224,7.149201311,1.773677359,4.03072254,5.56E-05,0.020713697
ENSCAFG00000010745,IGHMBP2,2234.882979,0.402912672,0.100330149,4.015868377,5.92E-05,0.02160316
ENSCAFG00000005807,NUMA1,7642.326098,-0.595862881,0.149590425,-3.983295587,6.80E-05,0.023799021
ENSCAFG00000008300,ZNF395,502.381182,-1.80094471,0.452013549,-3.984271515,6.77E-05,0.023799021
ENSCAFG00000004565,CD300E,111.7448285,8.106984335,2.046086851,3.962189742,7.43E-05,0.025494903
ENSCAFG00000007190,CLVS1,38.27842474,1.697168676,0.431626384,3.932031824,8.42E-05,0.02820963
ENSCAFG00000013178,OLA1,4125.828467,-0.705263876,0.179514492,-3.928729472,8.54E-05,0.02820963
ENSCAFG00000010077,LSP1,2340.465381,-5.918392624,1.508318028,-3.923836032,8.72E-05,0.028255987
ENSCAFG00000006835,NR1H4,47.42375029,-3.309851393,0.856778296,-3.863136364,0.00011194,0.034997391
ENSCAFG00000029509,MCEMP1,97.42784609,10.44516509,2.702918097,3.864403105,0.000111361,0.034997391
