ID,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000246,B4GALT7,31.89045156,-2.489939196,1.483996708,-1.677860323,0.09337437,0.525702736
ENSCAFG00000000247,DCTN2,223.1592468,-1.619168272,0.923185477,-1.753892703,0.079448894,0.499730191
ENSCAFG00000000248,AHI1,266.3255651,0.425785642,0.267406394,1.592279211,0.111321982,0.560467104
ENSCAFG00000000249,N4BP3,1718.667178,-0.375374867,0.31361378,-1.196933586,0.231332442,0.708076484
ENSCAFG00000000250,RMND5B,359.7148936,-0.690939555,0.527486775,-1.309870859,0.190239527,0.673028835
ENSCAFG00000000251,NA,445.894067,0.559083314,0.430505758,1.298666286,0.194058479,0.677787809
ENSCAFG00000000252,KIF5A,1.469043641,-0.870006674,1.684959987,-0.516336697,0.60561927,NA
ENSCAFG00000000253,PDE7B,446.6399354,0.367108802,0.23345033,1.572534945,0.115826542,0.569923884
ENSCAFG00000000255,NHP2,81.69658249,-0.700594414,0.818122534,-0.856344111,0.391807469,0.81693457
ENSCAFG00000000256,HNRNPAB,9.676059377,-0.389670456,0.742786184,-0.524606495,0.599856771,0.902519301
ENSCAFG00000000257,PHYKPL,1.874073703,-2.382310364,1.315244209,-1.811306484,0.070093423,NA
ENSCAFG00000000258,MTFR2,0.775824969,1.641534268,1.686184924,0.973519716,0.330295066,NA
ENSCAFG00000000259,BCLAF1,5262.917062,-0.053874085,0.25594179,-0.210493506,0.83328252,0.969293488
ENSCAFG00000000260,COL23A1,1223.536764,-0.163365728,0.409081539,-0.399347592,0.689637104,0.927491465
ENSCAFG00000000261,MAP7,25.23853828,0.397529763,0.280547361,1.416979159,0.156489021,0.62959004
ENSCAFG00000000263,CLK4,28.41513025,-0.021184197,0.288940159,-0.073316902,0.941553942,0.99096764
ENSCAFG00000000267,PIP4K2C,470.3255684,-0.60415785,0.65514676,-0.922171774,0.356438984,0.797586311
ENSCAFG00000000272,ARHGEF25,401.5253597,0.042168161,0.677534665,0.062237644,0.950373585,0.992236339
ENSCAFG00000000273,MAP3K5,365.341546,1.610696025,0.634888803,2.536973431,0.011181544,0.239222881
ENSCAFG00000000274,SLC26A10,913.4327447,-0.474559707,0.685050745,-0.692736574,0.488474882,0.859814829
ENSCAFG00000000275,PEX7,1371.807807,0.209997628,0.54802784,0.383187882,0.701580462,0.931920626
ENSCAFG00000000277,B4GALNT1,207.8405332,0.293595915,0.21324504,1.376800675,0.168573882,0.644150371
ENSCAFG00000000278,SLC35D3,411.3423402,0.227182548,0.292531661,0.776608409,0.437389839,0.839173818
ENSCAFG00000000279,IL20RA,1896.125428,0.592340203,0.25486513,2.324131992,0.020118421,0.303970045
ENSCAFG00000000280,IL22RA2,6684.555318,-0.032146657,0.269452031,-0.119303821,0.905034656,0.982676969
ENSCAFG00000000281,OS9,1394.332414,0.154242245,0.599519379,0.257276497,0.796965335,0.960669608
ENSCAFG00000000282,IFNGR1,335.646242,0.370891409,0.345752347,1.072708291,0.283402019,0.747190589
ENSCAFG00000000283,RPA3,2.48471848,0.933091225,1.120892331,0.83245393,0.405152772,NA
ENSCAFG00000000285,OR1X2,1026.802961,0.756786888,0.463814683,1.63165789,0.102751576,0.543001183
ENSCAFG00000000287,NA,58.68051979,-0.430215154,0.678999863,-0.633601239,0.526341092,0.875229861
ENSCAFG00000000290,OLIG3,576.6252427,0.047762126,0.282222715,0.169235584,0.865611342,0.977409197
ENSCAFG00000000291,TNFAIP3,33.86615582,0.933970536,0.242303235,3.854552478,0.000115942,0.021768345
ENSCAFG00000000293,PROP1,2294.187778,0.026887901,0.227122772,0.118384873,0.905762711,0.982676969
ENSCAFG00000000294,NA,1.155213658,0.141022324,0.971591828,0.145145646,0.88459588,NA
ENSCAFG00000000295,ARFGEF3,710.6368085,0.277200702,0.21659468,1.279813071,0.200610886,0.683915475
ENSCAFG00000000296,AGAP2,658.2518416,2.696556635,1.074113239,2.51049567,0.01205618,0.244190162
ENSCAFG00000000297,HEBP2,7.628009335,-1.070356233,0.865646755,-1.236481539,0.216279624,0.695896006
ENSCAFG00000000300,NHSL1,1110.616796,0.699607693,0.279083677,2.506802621,0.012182872,0.244733161
