gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000005462,TYR,25.65339325,-0.026451527,0.107157618,0.272869058,0.906242929
ENSCAFG00000049422,NA,23.92370019,-0.026464287,0.20249662,0.148630638,0.817700607
ENSCAFG00000016464,NDUFS2,782.4744618,-0.02647174,0.098972654,0.386590913,0.948032655
ENSCAFG00000003398,SYT5,1847.406139,-0.026499655,0.088839143,0.476841968,0.960753709
ENSCAFG00000047110,NA,149.6165911,-0.026507341,0.107912637,0.264016261,0.900371275
ENSCAFG00000014690,KCNJ13,10965.61558,-0.026507347,0.100753817,0.361086248,0.943860015
ENSCAFG00000032585,NA,163.123467,-0.026508262,0.103589571,0.319040019,0.927302925
ENSCAFG00000017513,NA,1746.340878,-0.026508801,0.099452604,0.379573416,0.946872952
ENSCAFG00000002494,FRYL,505.3583048,-0.026510277,0.193620653,NA,NA
ENSCAFG00000007057,PAAF1,175.531325,-0.0265202,0.118642094,0.195035008,0.870527789
ENSCAFG00000010826,BRAP,8074.084105,-0.026529909,0.093430943,0.445811931,0.956856831
ENSCAFG00000016541,CDK1,209.8537518,-0.02653498,0.10488989,0.300344098,0.920353754
ENSCAFG00000008937,RARG,815.4962558,-0.026543684,0.09646372,0.416332022,0.952284796
ENSCAFG00000002596,SULT1C2,253.3409171,-0.026546175,0.097957751,0.398720694,0.95077844
ENSCAFG00000007862,PLXNC1,160.022955,-0.026546882,0.247261056,NA,NA
ENSCAFG00000020345,MED24,61.62422625,-0.026558978,0.259000865,0.179587011,0.858280986
ENSCAFG00000017778,MACROH2A2,250.2477744,-0.026562004,0.255356425,NA,NA
ENSCAFG00000008700,TMEM132B,884.0065114,-0.026571291,0.106786839,0.275838719,0.906242929
ENSCAFG00000021390,RBPJ,3.694436877,-0.02657508,0.147404123,0.147957105,0.817604948
ENSCAFG00000025532,CTC1,1253.71757,-0.026589664,0.134067056,0.159846516,0.836362636
ENSCAFG00000003039,MFSD14B,3.856616295,-0.026593,0.142622934,0.151076545,0.822729901
ENSCAFG00000044698,GTF2B,175.9691619,-0.026605696,0.106157846,0.283037768,0.910997013
ENSCAFG00000016792,TSGA10IP,526.6754773,-0.02662227,0.098369065,0.392484679,0.949456382
ENSCAFG00000010977,RASGRF2,995.1293774,-0.02662412,0.099862933,0.372345539,0.946534823
ENSCAFG00000001372,NA,9097.227837,-0.026649554,0.10244659,0.334210266,0.933794375
ENSCAFG00000047193,NA,48.89768837,-0.026651167,0.136990339,0.155835959,0.829743758
ENSCAFG00000010585,VEGFC,86.37628431,-0.026687713,0.123998609,0.177215671,0.857464016
ENSCAFG00000015088,SPC25,418.7909198,-0.026730397,0.111136723,0.232947021,0.889731512
ENSCAFG00000010383,NA,14.19835103,-0.026735825,0.18946265,0.142265622,0.811234047
ENSCAFG00000003054,PAX5,439.9625421,-0.026742178,0.109265918,0.248298227,0.894398257
ENSCAFG00000035589,RAX2,111.5326698,-0.026745241,0.107371129,0.267317796,0.902721964
ENSCAFG00000043981,C5H16orf46,42.15045007,-0.026747998,0.104907756,0.297676429,0.918358996
ENSCAFG00000047544,NA,3.067582096,-0.026748071,0.123487306,0.177971954,0.857464016
ENSCAFG00000013477,CCDC150,5633.888279,-0.026761775,0.108786926,0.252568084,0.897246562
