gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,,,,
ENSCAFG00000019684,PLD5,2169.632413,-0.104588037,0.0821503,0.005490859,0.476212996,,,,
ENSCAFG00000020238,NA,85.25115091,0.081277659,0.10241586,0.005462098,0.476212996,,,,
ENSCAFG00000014074,NR5A2,1143.646701,-0.162070492,0.736471761,0.005621997,0.482013948,,,,
ENSCAFG00000018092,CCDC96,9.707318484,-0.14206422,0.636382493,0.005590561,0.482013948,,,,
ENSCAFG00000007242,HBEGF,2161.754724,0.088384015,0.092749622,0.005713139,0.487045066,,,,
ENSCAFG00000003745,ACP4,233.2243433,-0.186191878,0.892953657,0.005765492,0.488731328,,,,
ENSCAFG00000007516,SLC25A15,1670.441416,0.075411655,0.110408359,0.005809237,0.489672988,,,,
ENSCAFG00000016525,ADGRG2,14.13521267,-0.130026946,0.592215875,0.005932491,0.49726865,,,,
ENSCAFG00000004202,ZNF277,597.9643337,0.094073173,0.087085674,0.006149505,0.506936063,,,,
ENSCAFG00000013949,ADARB1,50.73481699,0.097038109,0.433043425,0.006215909,0.506936063,,,,
ENSCAFG00000016473,TFRC,2600.093395,0.073934325,0.110147311,0.006181745,0.506936063,,,,
ENSCAFG00000018090,VSIR,125.2222163,0.067530671,0.235128062,0.006215061,0.506936063,,,,
ENSCAFG00000024978,SGCA,230.9971333,-0.125965133,0.582902817,0.006216758,0.506936063,,,,
ENSCAFG00000012776,ARHGAP32,645.402671,-0.064464158,0.158685485,0.006293047,0.510383116,,,,
ENSCAFG00000002313,SRI,367.1119625,-0.146739911,0.69932736,0.006424633,0.515482322,,,,
ENSCAFG00000017029,FAM43A,101.4519448,-0.116054953,0.539020486,0.006403265,0.515482322,,,,
ENSCAFG00000016510,MLXIPL,71.02550216,-0.06643624,0.234502832,0.006479981,0.51715764,,,,
ENSCAFG00000033364,NADK,280.0581308,-0.164040513,0.823245179,0.006692693,0.531307747,,,,
ENSCAFG00000003494,FILIP1,29.56279702,-0.132404288,0.640754645,0.006845009,0.540539561,,,,
ENSCAFG00000003568,FSD1L,110.8396312,-0.11873518,0.569303611,0.006884834,0.540837982,,,,
ENSCAFG00000009859,CSRNP2,28.30463482,0.106378014,0.50801475,0.00703838,0.550020079,,,,
ENSCAFG00000019670,SLC6A12,1438.743727,-0.085051387,0.090897906,0.007117802,0.553344593,,,,
ENSCAFG00000004950,FYN,3087.856062,0.071396982,0.107129758,0.007225548,0.555959578,,,,
ENSCAFG00000008525,LRRC4C,45.03022332,-0.147798435,0.747113493,0.007202257,0.555959578,,,,
ENSCAFG00000009350,WDR88,44.21121376,-0.108985043,0.530864196,0.007328613,0.561012786,,,,
ENSCAFG00000008697,SLC52A3,80.00750839,-0.061915693,0.219755433,0.007440025,0.565951596,,,,
ENSCAFG00000010854,DHH,9.953711857,0.060046399,0.174276386,0.007468569,0.565951596,,,,
ENSCAFG00000041285,MEIOB,86.95069029,0.094533134,0.455462901,0.007520813,0.567046657,,,,
ENSCAFG00000010764,TLL2,7.655272753,-0.106493529,0.528507809,0.007720795,0.579214007,,,,
ENSCAFG00000000412,SRGAP1,471.7600694,0.063166203,0.124091939,0.007935686,0.586331965,,,,
ENSCAFG00000002526,NFKBIE,3787.86735,-0.069886942,0.105511715,0.007934377,0.586331965,,,,
ENSCAFG00000010653,CSNK2A2,171.0807341,0.07226729,0.100651517,0.008132662,0.586331965,,,,
ENSCAFG00000011807,IRX6,54.56198332,-0.088634998,0.435803285,0.008122371,0.586331965,,,,
ENSCAFG00000012692,TPMT,468.1542044,-0.066216047,0.112502789,0.008086058,0.586331965,,,,
ENSCAFG00000015146,IRF6,116.7262612,-0.070480465,0.318796423,0.008167381,0.586331965,,,,
ENSCAFG00000015410,CFLAR,206.001789,0.137104654,0.721901577,0.00802942,0.586331965,,,,
ENSCAFG00000029682,NPTN,98.52666771,-0.115685799,0.587136806,0.007940109,0.586331965,,,,
ENSCAFG00000031912,CIDEA,20.18054252,-0.107016706,0.53865804,0.007972929,0.586331965,,,,
ENSCAFG00000042532,SARDH,3.581500297,-0.070572855,0.32239107,0.008293937,0.592582016,,,,
ENSCAFG00000003785,HOXA5,141.6235784,-0.137906103,0.746489212,0.008346711,0.593526345,,,,
ENSCAFG00000007162,PDE2A,1183.367723,0.078851391,0.09242304,0.008443475,0.597575,,,,
ENSCAFG00000002161,MEA1,3267.450923,0.062156196,0.263687496,0.008719792,0.601211435,,,,
ENSCAFG00000002539,CDC5L,246.1787163,0.079597679,0.091536031,0.008556659,0.601211435,,,,
ENSCAFG00000012862,NA,51.21698038,-0.065536471,0.292327181,0.00867855,0.601211435,,,,
ENSCAFG00000019357,ANKLE1,762.9279527,-0.060361377,0.128325513,0.008595364,0.601211435,,,,
ENSCAFG00000024647,DAP3,301.183059,-0.091189419,0.46520141,0.008721266,0.601211435,,,,
ENSCAFG00000047209,NA,66.78285314,-0.060771263,0.250380971,0.008735277,0.601211435,,,,
ENSCAFG00000001582,NA,13.90866457,0.057321242,0.214937153,0.008963203,0.611542526,,,,
