,ensembl_gene_id,Hugo_Symbol
348,ENSCAFG00000000444,FLOT1
349,ENSCAFG00000000445,SYNE1
350,ENSCAFG00000000446,PTPRB
351,ENSCAFG00000000447,IER3
352,ENSCAFG00000000448,DDR1
353,ENSCAFG00000000450,TSPAN8
354,ENSCAFG00000000451,LGR5
355,ENSCAFG00000000453,ZFC3H1
356,ENSCAFG00000000454,VARS2
357,ENSCAFG00000000458,RAB21
358,ENSCAFG00000000459,TBC1D15
359,ENSCAFG00000000460,LAPTM4B
360,ENSCAFG00000000462,TPH2
361,ENSCAFG00000000464,CNOT6
362,ENSCAFG00000000469,POP1
363,ENSCAFG00000000470,NA
364,ENSCAFG00000000471,NA
365,ENSCAFG00000000472,C12H6orf15
366,ENSCAFG00000000473,TRHDE
367,ENSCAFG00000000474,CDSN
368,ENSCAFG00000000478,CCHCR1
369,ENSCAFG00000000479,KCNC2
370,ENSCAFG00000000480,NIPAL2
371,ENSCAFG00000000481,CAPS2
372,ENSCAFG00000000482,FLT4
373,ENSCAFG00000000483,TCF19
374,ENSCAFG00000000484,STK3
375,ENSCAFG00000000485,NA
376,ENSCAFG00000000487,DLA88
377,ENSCAFG00000000488,KCNS2
378,ENSCAFG00000000491,NA
379,ENSCAFG00000000493,OSR2
380,ENSCAFG00000000494,OR2AI2
381,ENSCAFG00000000497,NA
382,ENSCAFG00000000498,NA
383,ENSCAFG00000000502,NA
384,ENSCAFG00000000506,MCCD1
385,ENSCAFG00000000507,VPS13B
386,ENSCAFG00000000509,DDX39B
387,ENSCAFG00000000510,PRR16
388,ENSCAFG00000000512,SRFBP1
389,ENSCAFG00000000513,ATP6V1G2
390,ENSCAFG00000000515,LTA
391,ENSCAFG00000000517,TNF
392,ENSCAFG00000000519,NA
393,ENSCAFG00000000522,SNCAIP
394,ENSCAFG00000000525,GLIPR1
395,ENSCAFG00000000529,RGS22
396,ENSCAFG00000000530,SNX2
397,ENSCAFG00000000532,NA
398,ENSCAFG00000000533,PRRC2A
399,ENSCAFG00000000534,SNX24
400,ENSCAFG00000000535,MYCT1
401,ENSCAFG00000000538,VIP
402,ENSCAFG00000000540,NA
403,ENSCAFG00000000543,CEP120
404,ENSCAFG00000000544,FBXO43
405,ENSCAFG00000000547,FBXO5
406,ENSCAFG00000000549,MTRF1L
407,ENSCAFG00000000550,RGS17
408,ENSCAFG00000000554,NA
409,ENSCAFG00000000555,RNF19A
410,ENSCAFG00000000557,CSNK1G3
411,ENSCAFG00000000558,ACR
412,ENSCAFG00000000561,MIOX
413,ENSCAFG00000000562,NA
414,ENSCAFG00000000563,SNX31
415,ENSCAFG00000000564,SCO2
416,ENSCAFG00000000565,NA
417,ENSCAFG00000000566,ARSA
418,ENSCAFG00000000567,PABPC1
419,ENSCAFG00000000568,MAPK8IP2
420,ENSCAFG00000000569,ZNF608
421,ENSCAFG00000000570,SCAF8
422,ENSCAFG00000000572,NA
423,ENSCAFG00000000575,BAG6
424,ENSCAFG00000000577,TIAM2
425,ENSCAFG00000000578,NA
426,ENSCAFG00000000579,CHKB
427,ENSCAFG00000000580,NA
428,ENSCAFG00000000581,TFB1M
429,ENSCAFG00000000582,GRAMD2B
430,ENSCAFG00000000583,CLDN20
