ENSCAF (results),ensembl_gene_id,Hugo_Symbol,ENSCAF (add = in front),Hugo_Symbol (add = in front)
,ENSCAFG00000000497,NA,,
,ENSCAFG00000000498,NA,,
,ENSCAFG00000000502,NA,,
,ENSCAFG00000000506,MCCD1,,
,ENSCAFG00000000507,VPS13B,,
,ENSCAFG00000000509,DDX39B,,
,ENSCAFG00000000510,PRR16,,
,ENSCAFG00000000512,SRFBP1,,
,ENSCAFG00000000513,ATP6V1G2,,
,ENSCAFG00000000515,LTA,,
,ENSCAFG00000000517,TNF,,
,ENSCAFG00000000519,NA,,
,ENSCAFG00000000522,SNCAIP,,
,ENSCAFG00000000525,GLIPR1,,
,ENSCAFG00000000529,RGS22,,
,ENSCAFG00000000530,SNX2,,
,ENSCAFG00000000532,NA,,
,ENSCAFG00000000533,PRRC2A,,
,ENSCAFG00000000534,SNX24,,
,ENSCAFG00000000535,MYCT1,,
,ENSCAFG00000000538,VIP,,
,ENSCAFG00000000540,NA,,
,ENSCAFG00000000543,CEP120,,
,ENSCAFG00000000544,FBXO43,,
,ENSCAFG00000000547,FBXO5,,
,ENSCAFG00000000549,MTRF1L,,
,ENSCAFG00000000550,RGS17,,
,ENSCAFG00000000554,NA,,
,ENSCAFG00000000555,RNF19A,,
,ENSCAFG00000000557,CSNK1G3,,
,ENSCAFG00000000558,ACR,,
,ENSCAFG00000000561,MIOX,,
,ENSCAFG00000000562,NA,,
,ENSCAFG00000000563,SNX31,,
,ENSCAFG00000000564,SCO2,,
,ENSCAFG00000000565,NA,,
,ENSCAFG00000000566,ARSA,,
,ENSCAFG00000000567,PABPC1,,
,ENSCAFG00000000568,MAPK8IP2,,
,ENSCAFG00000000569,ZNF608,,
,ENSCAFG00000000570,SCAF8,,
,ENSCAFG00000000572,NA,,
,ENSCAFG00000000575,BAG6,,
,ENSCAFG00000000577,TIAM2,,
,ENSCAFG00000000578,NA,,
,ENSCAFG00000000579,CHKB,,
,ENSCAFG00000000580,NA,,
,ENSCAFG00000000581,TFB1M,,
,ENSCAFG00000000582,GRAMD2B,,
,ENSCAFG00000000583,CLDN20,,
,ENSCAFG00000000584,ZNF706,,
,ENSCAFG00000000586,CPT1B,,
,ENSCAFG00000000587,GRHL2,,
,ENSCAFG00000000588,ALDH7A1,,
,ENSCAFG00000000589,NOX3,,
,ENSCAFG00000000590,PHAX,,
,ENSCAFG00000000592,TEX43,,
,ENSCAFG00000000593,LMNB1,,
,ENSCAFG00000000594,MARCHF3,,
,ENSCAFG00000000595,NA,,
,ENSCAFG00000000598,APOM,,
,ENSCAFG00000000600,C6orf47,,
,ENSCAFG00000000601,GPANK1,,
,ENSCAFG00000000602,RRM2B,,
,ENSCAFG00000000603,NCAPH2,,
,ENSCAFG00000000604,NA,,
,ENSCAFG00000000606,LY6G5C,,
,ENSCAFG00000000607,ABHD16A,,
,ENSCAFG00000000608,ARID1B,,
,ENSCAFG00000000609,ADM2,,
,ENSCAFG00000000610,NA,,
,ENSCAFG00000000611,MEGF10,,
,ENSCAFG00000000612,SBF1,,
,ENSCAFG00000000613,NA,,
,ENSCAFG00000000614,LY6G6C,,
,ENSCAFG00000000615,MPIG6B,,
,ENSCAFG00000000616,TMEM242,,
,ENSCAFG00000000617,DDAH2,,
,ENSCAFG00000000618,ZDHHC14,,
,ENSCAFG00000000619,UBR5,,
,ENSCAFG00000000620,PPP6R2,,
,ENSCAFG00000000621,CLIC1,,
,ENSCAFG00000000622,PRRC1,,
,ENSCAFG00000000624,NA,,
,ENSCAFG00000000625,CCDC192,,
,ENSCAFG00000000626,NA,,
,ENSCAFG00000000627,SNX9,,
,ENSCAFG00000000628,SAPCD1,,
,ENSCAFG00000000629,DENND6B,,
,ENSCAFG00000000630,VWA7,,
,ENSCAFG00000000632,NA,,
,ENSCAFG00000000634,NA,,
,ENSCAFG00000000636,VARS1,,
,ENSCAFG00000000637,SLC12A2,,
,ENSCAFG00000000638,KLF10,,
,ENSCAFG00000000639,HSPA1L,,
,ENSCAFG00000000641,NA,,
,ENSCAFG00000000642,NEU1,,
,ENSCAFG00000000643,AZIN1,,
,ENSCAFG00000000644,SYNJ2,,
,ENSCAFG00000000646,NA,,
,ENSCAFG00000000647,SERAC1,,
,ENSCAFG00000000649,ATP6V1C1,,
,ENSCAFG00000000652,TULP4,,
,ENSCAFG00000000653,NA,,
,ENSCAFG00000000654,FZD6,,
,ENSCAFG00000000655,TMEM181,,
,ENSCAFG00000000656,CTHRC1,,
,ENSCAFG00000000657,DYNLT1,,
,ENSCAFG00000000658,SLC44A4,,
,ENSCAFG00000000659,SYTL3,,
,ENSCAFG00000000661,EZR,,
,ENSCAFG00000000663,DCAF13,,
,ENSCAFG00000000664,RSPH3,,
,ENSCAFG00000000665,TAGAP,,
,ENSCAFG00000000667,FNDC1,,
,ENSCAFG00000000669,EHMT2,,
,ENSCAFG00000000670,RIMS2,,
,ENSCAFG00000000671,SOD2,,
,ENSCAFG00000000673,PLXNB2,,
,ENSCAFG00000000674,ZBTB12,,
,ENSCAFG00000000675,DCSTAMP,,
,ENSCAFG00000000676,DPYS,,
,ENSCAFG00000000677,LRP12,,
,ENSCAFG00000000678,ZFPM2,,
,ENSCAFG00000000679,SKIV2L,,
,ENSCAFG00000000680,OXR1,,
,ENSCAFG00000000681,FBN2,,
,ENSCAFG00000000682,ABRA,,
,ENSCAFG00000000683,NA,,
,ENSCAFG00000000685,MAPK12,,
,ENSCAFG00000000686,C2,,
,ENSCAFG00000000688,HDAC10,,
,ENSCAFG00000000689,TUBGCP6,,
,ENSCAFG00000000690,NELFE,,
,ENSCAFG00000000691,IGF2R,,
,ENSCAFG00000000692,SELENOO,,
,ENSCAFG00000000693,ANGPT1,,
,ENSCAFG00000000694,DXO,,
,ENSCAFG00000000696,RSPO2,,
,ENSCAFG00000000697,NA,,
,ENSCAFG00000000698,TRABD,,
,ENSCAFG00000000699,PANX2,,
,ENSCAFG00000000700,MOV10L1,,
,ENSCAFG00000000701,NA,,
,ENSCAFG00000000702,EIF3E,,
,ENSCAFG00000000703,MLC1,,
,ENSCAFG00000000704,TTLL8,,
,ENSCAFG00000000706,IL17REL,,
,ENSCAFG00000000709,CRELD2,,
,ENSCAFG00000000710,SLC27A6,,
,ENSCAFG00000000711,ALG12,,
,ENSCAFG00000000712,CYP21A2,,
,ENSCAFG00000000713,NA,,
,ENSCAFG00000000714,ZBED4,,
,ENSCAFG00000000716,TMEM74,,
,ENSCAFG00000000717,TRHR,,
,ENSCAFG00000000718,BRD1,,
,ENSCAFG00000000719,NUDCD1,,
,ENSCAFG00000000720,ACAT2,,
,ENSCAFG00000000721,ISOC1,,
,ENSCAFG00000000722,ADAMTS19,,
,ENSCAFG00000000723,MINAR2,,
,ENSCAFG00000000727,NA,,
,ENSCAFG00000000731,NA,,
,ENSCAFG00000000732,TCP1,,
,ENSCAFG00000000736,LYRM7,,
,ENSCAFG00000000737,CDC42SE2,,
,ENSCAFG00000000738,EBAG9,,
,ENSCAFG00000000740,PNLDC1,,
,ENSCAFG00000000741,SYBU,,
,ENSCAFG00000000742,MAS1,,
,ENSCAFG00000000743,NA,,
,ENSCAFG00000000744,KCNV1,,
,ENSCAFG00000000745,TBC1D22A,,
,ENSCAFG00000000749,NA,,
,ENSCAFG00000000751,TNXB,,
,ENSCAFG00000000752,CERK,,
,ENSCAFG00000000755,FNIP1,,
,ENSCAFG00000000756,GRAMD4,,
,ENSCAFG00000000757,SLC22A2,,
,ENSCAFG00000000758,PLG,,
,ENSCAFG00000000760,MAP3K4,,
,ENSCAFG00000000761,ATF6B,,
,ENSCAFG00000000764,PRRT1,,
,ENSCAFG00000000765,AGPAT4,,
,ENSCAFG00000000766,PPT2,,
,ENSCAFG00000000767,CELSR1,,
,ENSCAFG00000000768,EGFL8,,
,ENSCAFG00000000769,PRKN,,
,ENSCAFG00000000770,PACRG,,
,ENSCAFG00000000771,AGPAT1,,
,ENSCAFG00000000772,QKI,,
,ENSCAFG00000000774,RNF5,,
,ENSCAFG00000000776,NA,,
,ENSCAFG00000000777,AGER,,
,ENSCAFG00000000779,TRMU,,
,ENSCAFG00000000781,C1H6orf118,,
,ENSCAFG00000000782,GTSE1,,
,ENSCAFG00000000783,PBX2,,
,ENSCAFG00000000784,TTC38,,
,ENSCAFG00000000785,PKDREJ,,
,ENSCAFG00000000786,CSMD3,,
,ENSCAFG00000000787,CDPF1,,
,ENSCAFG00000000788,PPARA,,
,ENSCAFG00000000789,WNT7B,,
,ENSCAFG00000000790,GPSM3,,
,ENSCAFG00000000791,NOTCH4,,
,ENSCAFG00000000792,NA,,
,ENSCAFG00000000795,PDE10A,,
,ENSCAFG00000000797,BTNL2,,
,ENSCAFG00000000798,NA,,
,ENSCAFG00000000799,ACSL6,,
,ENSCAFG00000000801,NA,,
,ENSCAFG00000000803,DLA-DRA,,
,ENSCAFG00000000804,FBLN1,,
,ENSCAFG00000000806,HLA-DQB1,,
,ENSCAFG00000000807,TBXT,,
,ENSCAFG00000000808,NA,,
,ENSCAFG00000000809,RIBC2,,
,ENSCAFG00000000810,TRPS1,,
,ENSCAFG00000000811,SFT2D1,,
,ENSCAFG00000000812,DLA-DQA1,,
,ENSCAFG00000000814,HLA-DQB2,,
,ENSCAFG00000000816,EIF3H,,
,ENSCAFG00000000817,IL3,,
,ENSCAFG00000000820,CSF2,,
,ENSCAFG00000000821,UTP23,,
,ENSCAFG00000000822,RAD21,,
,ENSCAFG00000000824,P4HA2,,
,ENSCAFG00000000825,SLC30A8,,
,ENSCAFG00000000826,MED30,,
,ENSCAFG00000000827,SMC1B,,
,ENSCAFG00000000828,RPS6KA2,,
,ENSCAFG00000000830,PDLIM4,,
,ENSCAFG00000000831,EXT1,,
,ENSCAFG00000000832,TAP1,,
,ENSCAFG00000000833,SAMD12,,
,ENSCAFG00000000834,TNFRSF11B,,
,ENSCAFG00000000835,NA,,
,ENSCAFG00000000838,FAM118A,,
,ENSCAFG00000000839,MAL2,,
