gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000018523,USP22,2976.279568,0.003214801,0.100544176,0.918218985,0.997366198
ENSCAFG00000018544,NA,4.588291244,-0.002251287,0.110833244,0.920529543,0.997366198
ENSCAFG00000018546,NNT,4467.837496,-0.003222981,0.098180889,0.921491228,0.997366198
ENSCAFG00000018713,UNC119,168.5155468,-0.001610054,0.122836886,0.921976246,0.997366198
ENSCAFG00000019005,BLMH,1292.831881,0.002751004,0.104821457,0.92193542,0.997366198
ENSCAFG00000019357,KCTD5,731.0954782,-0.002388266,0.109616358,0.919635314,0.997366198
ENSCAFG00000019368,TEDC2,817.5084612,0.002918203,0.102128295,0.923046906,0.997366198
ENSCAFG00000019560,LCN15,4.502889272,0.001779498,0.118672602,0.919697933,0.997366198
ENSCAFG00000019627,MPP1,2955.77057,-0.001870147,0.115785142,0.921486994,0.997366198
ENSCAFG00000019645,VAMP7,1021.612089,0.002933972,0.102418014,0.922087951,0.997366198
ENSCAFG00000019683,SNAPC4,1100.937063,-0.003429586,0.096925836,0.918073978,0.997366198
ENSCAFG00000019841,CELSR2,280.7982331,0.001743237,0.119198605,0.920461824,0.997366198
ENSCAFG00000020316,SLC7A6,960.2535554,0.002838625,0.103138045,0.923208786,0.997366198
ENSCAFG00000020423,SRSF11,4109.801912,0.003574731,0.090837419,0.919751855,0.997366198
ENSCAFG00000023445,MED31,139.0999945,-0.00269746,0.105221768,0.922494981,0.997366198
ENSCAFG00000023779,ZBTB8A,172.2480048,0.002952275,0.101793776,0.922766636,0.997366198
ENSCAFG00000024521,NA,4.315535168,0.002268972,0.110426362,0.921167905,0.997366198
ENSCAFG00000024988,FRZB,75.96245814,0.00148134,0.1454358,0.921392657,0.997366198
ENSCAFG00000025377,AHRR,1210.403131,-0.001946704,0.115356183,0.919324045,0.997366198
ENSCAFG00000026941,NA,7.283942681,-0.001776734,0.119208718,0.918932095,0.997366198
ENSCAFG00000027626,NA,4.379682094,-0.001854265,0.117606343,0.918339665,0.997366198
ENSCAFG00000029157,NOVA1,137.8695173,0.001562755,0.132961984,0.918236088,0.997366198
ENSCAFG00000029439,TMA7,845.8689366,0.002819471,0.103297947,0.923399961,0.997366198
ENSCAFG00000029609,DMAC1,532.3744306,-0.002739276,0.10568093,0.920146516,0.997366198
ENSCAFG00000029836,CENPW,929.99903,0.002593383,0.107873617,0.918385141,0.997366198
ENSCAFG00000030257,NA,694.1244462,0.002805132,0.105443403,0.918862243,0.997366198
ENSCAFG00000030699,ZNF593,1356.328397,-0.00343376,0.092379858,0.922006151,0.997366198
ENSCAFG00000030744,LRRC46,126.9584536,0.002611735,0.107015696,0.920317665,0.997366198
ENSCAFG00000031801,RPP30,772.7826739,0.003154512,0.099291208,0.92166567,0.997366198
ENSCAFG00000031997,MSANTD4,421.5348038,-0.002820916,0.104546624,0.920622886,0.997366198
ENSCAFG00000032636,NA,237.9987062,-0.002660002,0.105303864,0.9233663,0.997366198
ENSCAFG00000041560,NA,91.51389233,-0.003656039,0.07984327,0.919762943,0.997366198
ENSCAFG00000045639,NA,57.51930357,-0.00360846,0.090993952,0.918914305,0.997366198
ENSCAFG00000046178,TXNDC17,480.5832109,-0.002655401,0.107299152,0.918176924,0.997366198
ENSCAFG00000049531,PLA2G12A,527.697197,0.00251037,0.108089907,0.920339689,0.997366198
ENSCAFG00000011254,HGD,267.6523822,0.003012707,0.100312905,0.923684172,0.997403017
ENSCAFG00000012111,NDUFB3,1702.779104,-0.002573669,0.106165601,0.923731666,0.997403017
ENSCAFG00000019301,CLUH,4254.028636,0.003004576,0.10041455,0.923731937,0.997403017
ENSCAFG00000011923,YEATS2,3441.803556,0.00261534,0.105646233,0.923817333,0.997425443
ENSCAFG00000001533,TSPAN33,22.45075017,-0.001460171,0.130288284,0.924449726,0.997470786
ENSCAFG00000005037,KLF5,1589.668834,-0.001781855,0.11603211,0.924634867,0.997470786
ENSCAFG00000006651,NOP56,8345.207091,0.002963592,0.100616818,0.924451945,0.997470786
ENSCAFG00000010568,NEPRO,402.7215533,0.003014816,0.099851111,0.924322628,0.997470786
ENSCAFG00000011196,NID1,3101.632583,0.001430999,0.146429794,0.924105072,0.997470786
ENSCAFG00000012046,IFI6,16.24632305,-0.001681223,0.118661982,0.924109989,0.997470786
ENSCAFG00000014469,EFHC2,7.511956908,-0.001502716,0.125944676,0.924599614,0.997470786
ENSCAFG00000015198,PELI2,11.68904454,-0.001431317,0.150985746,0.924506814,0.997470786
ENSCAFG00000016170,RAB15,823.7828082,0.001581908,0.121738182,0.924502186,0.997470786
ENSCAFG00000017762,APPBP2,684.5694132,0.003418142,0.087350658,0.924574575,0.997470786
ENSCAFG00000018870,HPRT1,1967.62191,0.00314773,0.097248787,0.924410702,0.997470786
ENSCAFG00000045079,NA,59.38900003,0.001647806,0.119746662,0.923973715,0.997470786
ENSCAFG00000000886,DSE,1438.419095,-0.001719865,0.116954865,0.92541389,0.997534148
ENSCAFG00000003595,SFPQ,9255.24236,0.003296426,0.091791738,0.925457515,0.997534148
ENSCAFG00000010880,TRIP11,2253.907984,0.003416375,0.085151046,0.925041027,0.997534148
ENSCAFG00000012164,NCKIPSD,730.5007737,0.002177754,0.10998644,0.925598453,0.997534148
ENSCAFG00000012551,UBXN11,56.58337977,-0.002333959,0.108257889,0.925427711,0.997534148
ENSCAFG00000014846,SKIL,678.797762,-0.002324123,0.108406987,0.925321894,0.997534148
ENSCAFG00000020094,FAM102A,278.4705406,0.002245998,0.109266405,0.925402083,0.997534148
ENSCAFG00000023910,LOXL1,8461.022538,0.001435702,0.130633142,0.925575652,0.997534148
ENSCAFG00000031349,NA,4.57257956,0.001516687,0.123990416,0.92541292,0.997534148
ENSCAFG00000043493,NA,19.71634766,-0.002096773,0.110984142,0.925504454,0.997534148
ENSCAFG00000044862,NA,10.59401549,-0.001613216,0.119846038,0.925417685,0.997534148
