gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,source_file
ENSCAFG00000006596,ANKS1B,421.5504785,0.847096353,1.28949749,0.001112522,0.135847875,ccl2
ENSCAFG00000006598,MCM4,8326.13568,-0.230822045,0.254871821,0.001117836,0.135847875,ccl2
ENSCAFG00000005275,TMC8,98.25010265,-1.261213963,1.95102529,0.001141778,0.136103037,ccl2
ENSCAFG00000006402,CCKBR,22.01537575,1.191469835,1.812532147,0.001137741,0.136103037,ccl2
ENSCAFG00000028636,IGFBP6,2271.749316,0.5842144,0.939011451,0.001151796,0.136103037,ccl2
ENSCAFG00000044565,,7.387088455,1.096292653,1.666625655,0.001155209,0.136103037,ccl2
ENSCAFG00000013828,ADORA2A,1358.209096,-0.996705824,1.526392101,0.001175932,0.136461208,ccl2
ENSCAFG00000016734,EFNB1,1137.267714,0.350185193,0.572791175,0.001172581,0.136461208,ccl2
ENSCAFG00000016893,SNF8,1606.907939,-0.233936856,0.139401341,0.00119422,0.136530298,ccl2
ENSCAFG00000018345,HTR4,11.43984601,1.112657857,1.712782392,0.001187561,0.136530298,ccl2
ENSCAFG00000011155,STARD9,527.7837122,-0.539559677,0.889689634,0.001222722,0.138760971,ccl2
ENSCAFG00000048053,,111.6963009,-0.539632868,0.899966288,0.001271049,0.143192489,ccl2
ENSCAFG00000044379,,5.872615809,-0.525389138,0.886671058,0.001312345,0.146773437,ccl2
ENSCAFG00000010393,TAF5,230.1617025,-0.227406734,0.150190304,0.001324047,0.14701681,ccl2
ENSCAFG00000006022,EFNB2,1433.680438,0.758709386,1.254729297,0.001390204,0.153260031,ccl2
ENSCAFG00000014405,,80.46444191,-1.154945923,2.149239117,0.00144158,0.157726888,ccl2
ENSCAFG00000014475,HOMER3,1209.446455,0.6090446,1.04603039,0.00146138,0.157726888,ccl2
ENSCAFG00000015235,SLC19A2,567.3687719,0.239677919,0.361691462,0.001460279,0.157726888,ccl2
ENSCAFG00000008028,SLC9A9,188.5765867,-0.553537712,0.964930363,0.001487549,0.159436292,ccl2
ENSCAFG00000000005,PARD6G,213.6881637,0.586552277,1.025141995,0.001528589,0.162599149,ccl2
ENSCAFG00000011287,STS,97.93539809,0.554756354,0.976636314,0.001538129,0.162599149,ccl2
ENSCAFG00000023746,TDRD3,382.6848602,0.213235275,0.176677663,0.001566294,0.164450244,ccl2
ENSCAFG00000001141,NDRG1,2819.432151,0.621411806,1.10062156,0.001625205,0.166593814,ccl2
ENSCAFG00000002138,IL18R1,95.1465193,0.691959008,1.219681461,0.001649355,0.166593814,ccl2
ENSCAFG00000012080,COG2,1218.942601,0.208050772,0.192868593,0.001645575,0.166593814,ccl2
ENSCAFG00000017184,IL6R,98.27189686,-0.885033514,1.55040514,0.0016607,0.166593814,ccl2
ENSCAFG00000018183,NPC1,2421.290953,0.207790572,0.206141909,0.001614735,0.166593814,ccl2
ENSCAFG00000019049,CDH18,188.7731947,1.057899619,2.053312886,0.001662268,0.166593814,ccl2
ENSCAFG00000019714,SLC2A5,54.52180513,0.998420267,1.758383088,0.0016211,0.166593814,ccl2
ENSCAFG00000009348,SYT6,18.81853038,1.015652573,1.8683194,0.001707458,0.170018712,ccl2
ENSCAFG00000006505,SIGIRR,284.4785281,0.386257731,0.722021542,0.001747136,0.171753515,ccl2
ENSCAFG00000019332,HCFC1R1,954.4860307,-0.244241517,0.412396627,0.001738365,0.171753515,ccl2
ENSCAFG00000007107,TTLL9,18.96115337,0.646172189,1.176624202,0.001791578,0.173906967,ccl2
ENSCAFG00000023072,POC1A,2468.313522,0.207503983,0.174678142,0.001787371,0.173906967,ccl2
ENSCAFG00000028827,UBE2V2,1457.005286,-0.201314839,0.243238721,0.001827262,0.176262241,ccl2
ENSCAFG00000005795,ZNF385D,25.02315388,0.824729646,1.545787953,0.001964005,0.185228341,ccl2
ENSCAFG00000011081,ZMAT3,496.2303741,0.460899413,0.885619193,0.001953139,0.185228341,ccl2
ENSCAFG00000028978,IL2RG,328.9583399,-0.958298998,1.927305648,0.001939452,0.185228341,ccl2
ENSCAFG00000032204,PRSS53,366.3644521,0.799092762,1.495482078,0.001968216,0.185228341,ccl2
ENSCAFG00000006643,,66.91597614,-0.196175395,0.228510374,0.001982526,0.185444284,ccl2
ENSCAFG00000000273,AGAP2,394.1562614,-0.386939167,0.767111536,0.002107049,0.18873782,ccl2
ENSCAFG00000000968,FSTL4,45.09204373,0.695977182,1.337141363,0.002115566,0.18873782,ccl2
ENSCAFG00000006411,SMPD1,951.5604716,0.2267643,0.396996923,0.002067161,0.18873782,ccl2
ENSCAFG00000010999,PRKAR1A,7709.16259,0.205573559,0.162061867,0.002038319,0.18873782,ccl2
ENSCAFG00000011339,LHX9,42.84485127,0.764478205,1.469748755,0.002110283,0.18873782,ccl2
ENSCAFG00000012214,KDF1,12.85525726,0.645736232,1.231628947,0.00205744,0.18873782,ccl2
ENSCAFG00000041383,,1787.427851,-0.234878352,0.423715746,0.002088058,0.18873782,ccl2
ENSCAFG00000049043,,4907.382616,-0.203615821,0.166503517,0.002052045,0.18873782,ccl2
ENSCAFG00000005150,GCKR,97.73594299,0.450043686,0.892057854,0.002149047,0.190622916,ccl2
ENSCAFG00000002733,IL6,30.74198615,0.790156677,1.555542085,0.0022059,0.192349467,ccl2
ENSCAFG00000009800,,192.1442853,-0.582109514,1.140074362,0.002185631,0.192349467,ccl2
ENSCAFG00000011607,MSMO1,44.26641486,0.365502993,0.735016075,0.002199659,0.192349467,ccl2
ENSCAFG00000025083,FADS1,167.7236942,0.408621219,0.82246941,0.002222759,0.192730666,ccl2
ENSCAFG00000030725,PSMB9,607.2158267,-0.494581358,0.988531636,0.002249817,0.193987014,ccl2
ENSCAFG00000015720,DHX58,223.8455618,-0.582910062,1.163196002,0.002311201,0.198172677,ccl2
ENSCAFG00000000665,TAGAP,484.8051836,-0.819307444,1.830201482,0.002456199,0.19966276,ccl2
ENSCAFG00000006190,SPEF1,50.58384377,0.423012042,0.866411637,0.002360916,0.19966276,ccl2
ENSCAFG00000006560,NCAPH,3687.632381,-0.188370288,0.275438844,0.002418947,0.19966276,ccl2
