"Cytokine","Collection","ID","Description","setSize","enrichmentScore","NES","pvalue","p_adjust","qvalue","rank","leading_edge","core_enrichment"
"TNFA","C7","GSE17721_4H_VS_24H_POLYIC_BMDC_DN","GSE17721_4H_VS_24H_POLYIC_BMDC_DN",161,0.695199936,1.409254289,0.095846645,0.684638099,0.653882554,347,"tags=4%, list=3%, signal=4%","SMPDL3A/TTYH2/TRAPPC1/SLC6A12/TM9SF4/PTGES/HSPA9"
"TNFA","C7","GSE45365_NK_CELL_VS_CD8A_DC_MCMV_INFECTION_UP","GSE45365_NK_CELL_VS_CD8A_DC_MCMV_INFECTION_UP",102,-0.694982863,-1.539459697,0.096059113,0.685194768,0.654414216,193,"tags=9%, list=2%, signal=9%","TCP11L2/HORMAD2/SHC4/PHKG1/HGFAC/ZBTB46/CD38/CARMIL2/MFNG"
"TNFA","C7","GSE7460_TCONV_VS_TREG_LN_DN","GSE7460_TCONV_VS_TREG_LN_DN",162,-0.634763919,-1.449464394,0.096514745,0.687481955,0.656598657,557,"tags=7%, list=5%, signal=7%","TK1/SLC2A3/RNF135/KLRG1/ITM2C/ENTPD1/GABARAPL1/FBXO32/ZBED5/CDK6/CD38/GPR15"
"TNFA","C7","ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_RESPONDERS_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP","ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_RESPONDERS_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP",15,-0.795518147,-1.634852008,0.096834264,0.687833903,0.656934795,29,"tags=13%, list=0%, signal=13%","TNFSF10/CD38"
"TNFA","C7","VOIGT_PBMC_FLUARIX_AGE_50_74YO_FEMALES_VS_MALES_0DY_TO_28D_UP","VOIGT_PBMC_FLUARIX_AGE_50_74YO_FEMALES_VS_MALES_0DY_TO_28D_UP",11,-0.786236217,-1.573161333,0.096774194,0.687833903,0.656934795,30,"tags=18%, list=0%, signal=18%","DPF3/STAP1"
"TNFA","C7","GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_72H_ACT_CD4_TCELL_DN","GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_72H_ACT_CD4_TCELL_DN",136,-0.644177616,-1.482126293,0.097323601,0.690346936,0.659334936,134,"tags=4%, list=1%, signal=4%","SMAD7/TOPBP1/CLEC2B/CD38/SELL"
"TNFA","C7","GSE13411_NAIVE_BCELL_VS_PLASMA_CELL_DN","GSE13411_NAIVE_BCELL_VS_PLASMA_CELL_DN",131,0.725834541,1.435723642,0.097807757,0.692816283,0.661693355,8,"tags=1%, list=0%, signal=1%","MMP15"
"TNFA","C7","GSE17974_0H_VS_0.5H_IN_VITRO_ACT_CD4_TCELL_UP","GSE17974_0H_VS_0.5H_IN_VITRO_ACT_CD4_TCELL_UP",106,-0.690372471,-1.539989175,0.098039216,0.693026194,0.661893837,196,"tags=4%, list=2%, signal=4%","CCKBR/NUDT18/LMNTD2/SEPTIN1"
"TNFA","C7","GSE13762_CTRL_VS_125_VITAMIND_DAY5_DC_DN","GSE13762_CTRL_VS_125_VITAMIND_DAY5_DC_DN",79,0.766886128,1.477510351,0.098245614,0.693026194,0.661893837,546,"tags=9%, list=5%, signal=9%","CXCL14/FGFR3/MAPK8IP2/NCCRP1/FAM169A/ADAMTS4/LARGE2"
"TNFA","C7","GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_52H_UP","GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_52H_UP",146,0.707831153,1.413706781,0.098169717,0.693026194,0.661893837,329,"tags=7%, list=3%, signal=7%","STAB1/TAGLN/SPEG/ACP5/LRP2/SLC7A7/NR4A1/HYOU1/CUL2/CRADD"
"TNFA","C7","GSE13887_ACT_CD4_VS_NO_TREATED_CD4_TCELL_DN","GSE13887_ACT_CD4_VS_NO_TREATED_CD4_TCELL_DN",61,-0.742702412,-1.704966144,0.098501071,0.693693911,0.662531558,135,"tags=10%, list=1%, signal=10%","PMM2/CHTF8/SLC1A3/GPR180/HOXA5/MFNG"
"TNFA","C7","NAKAYA_PBMC_FLUAD_IMUVAC_MALE_AGE_14_27YO_CORRELATED_WITH_HAI_RESPONSE_MF59_ADJUVANTED_AND_NON_1DY_GENES_IN_BTM_M75_POSITIVE","NAKAYA_PBMC_FLUAD_IMUVAC_MALE_AGE_14_27YO_CORRELATED_WITH_HAI_RESPONSE_MF59_ADJUVANTED_AND_NON_1DY_GENES_IN_BTM_M75_POSITIVE",13,0.845238756,1.699953928,0.1,0.693693911,0.662531558,1183,"tags=46%, list=10%, signal=42%","IL1B/CXCL10/CARD9/OAS3/OAS1/RSAD2"
"TNFA","C7","ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_CORRELATED_WITH_CD8_T_CELL_RESPONSE_3DY_NEGATIVE","ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_CORRELATED_WITH_CD8_T_CELL_RESPONSE_3DY_NEGATIVE",20,-0.737840769,-1.607823512,0.099808061,0.693693911,0.662531558,807,"tags=20%, list=7%, signal=19%","TMEM92/RPL7A/ASS1/PTGER1"
"TNFA","C7","ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_AD5_NAB_TITERS_GTE_200_VS_LTE_200_1DY_UP","ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_AD5_NAB_TITERS_GTE_200_VS_LTE_200_1DY_UP",88,-0.695159859,-1.564714796,0.09976247,0.693693911,0.662531558,1564,"tags=36%, list=13%, signal=32%","ZNF143/NAE1/NAA16/NUCB2/PSIP1/IPP/PNN/BANK1/RASGRP1/EIF3E/PRKACB/RNF125/CCR7/LUC7L3/GTF2H3/IP6K1/AHCTF1/TBC1D31/N4BP2/TTC3/AGL/RPL15/SFPQ/KLHDC2/RPS13/RBL2/MPHOSPH9/TMEM204/HLTF/NAP1L1/SKAP1/KLF12"
"TNFA","C7","GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_6H_DN","GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_6H_DN",93,-0.691544193,-1.546878708,0.099273608,0.693693911,0.662531558,522,"tags=14%, list=4%, signal=13%","KCNK5/PAPLN/GCHFR/TRPM5/SELP/HIP1R/PCNX2/SLA2/OAZ3/TNXB/DSCAML1/CBFA2T3/ASIC4"
"TNFA","C7","GSE12963_UNINF_VS_ENV_AND_NEF_DEFICIENT_HIV1_INF_CD4_TCELL_DN","GSE12963_UNINF_VS_ENV_AND_NEF_DEFICIENT_HIV1_INF_CD4_TCELL_DN",101,-0.688152782,-1.524658806,0.101234568,0.693693911,0.662531558,862,"tags=13%, list=7%, signal=12%","IPO5/INTS4/MIS18BP1/TRIM37/CKAP5/BARD1/FRMD5/CCNG1/CAPZA2/PLK4/KLF12/ETV4/SPRY4"
