"Cytokine","Collection","ID","Description","setSize","enrichmentScore","NES","pvalue","p_adjust","qvalue","rank","leading_edge","core_enrichment"
"VEGF","C7","GSE17721_LPS_VS_POLYIC_12H_BMDC_UP","GSE17721_LPS_VS_POLYIC_12H_BMDC_UP",163,0.365395905,0.797542818,0.705426357,0.925531789,0.895096223,1686,"tags=18%, list=14%, signal=16%","SLC6A12/ABT1/CTBS/ST3GAL5/IGF2R/STT3A/CDR2/MYDGF/RNF126/RIOK2/MPG/SLC41A2/RHOA/TM9SF4/GDI1/ZFP64/PSMD12/MIEN1/STARD4/EPS15L1/ACLY/PRMT1/HSPA4/LRRC59/GNL3/PINX1/NOC2L/NEK9/MOGS"
"VEGF","C7","GSE17721_LPS_VS_PAM3CSK4_4H_BMDC_DN","GSE17721_LPS_VS_PAM3CSK4_4H_BMDC_DN",165,0.364334642,0.797493038,0.705769231,0.925531789,0.895096223,1698,"tags=22%, list=14%, signal=20%","STAB1/B4GALT1/SLC2A1/SARS1/SIKE1/SUN2/MORF4L1/POLR2E/USP39/UBE4B/TMEM234/DOLPP1/MRPL40/TMED7/MRPS34/RPF2/SLC39A1/DCTN5/RNASEK/RAB40C/KATNBL1/FARSB/RPN1/PICK1/CALR/RRS1/TMEM101/MRPL37/TSPAN3/WDR75/YWHAB/DUSP1/ARL8B/ZXDC/CDK2AP1/IPO9/SNX15"
"VEGF","C7","GSE7509_DC_VS_MONOCYTE_WITH_FCGRIIB_STIM_DN","GSE7509_DC_VS_MONOCYTE_WITH_FCGRIIB_STIM_DN",157,-0.345358571,-0.796709138,0.705394191,0.925531789,0.895096223,1066,"tags=9%, list=9%, signal=8%","CLDND1/ADPRH/RAB14/CMTR1/ETV6/TRAFD1/PLSCR1/EIF4G3/RUBCN/BRCA2/SETD1B/ARAP2/IFIT3/LAG3"
"VEGF","C7","GSE17721_PAM3CSK4_VS_CPG_4H_BMDC_DN","GSE17721_PAM3CSK4_VS_CPG_4H_BMDC_DN",148,-0.344947522,-0.79377996,0.703549061,0.925531789,0.895096223,2109,"tags=19%, list=18%, signal=16%","ZFYVE26/SYNJ2BP/ZNF444/PLIN2/RMDN3/TOR3A/PTGS2/SPTLC2/PLEKHG6/CPT1A/MED14/B3GNT2/MOV10/TIMELESS/PSMB9/KAT6A/SLC12A9/ITM2B/TXLNG/EPSTI1/CAB39L/TUT7/NUB1/RGS2/IRF2/TRA2A/TMEM229B/PLA1A"
"VEGF","C7","GSE11864_UNTREATED_VS_CSF1_IN_MAC_UP","GSE11864_UNTREATED_VS_CSF1_IN_MAC_UP",137,-0.346575971,-0.791808146,0.702083333,0.925531789,0.895096223,2292,"tags=22%, list=19%, signal=18%","RASGEF1A/ZNF296/FASTK/ALAS2/RPL22/FAM200B/RPS6/ENSA/P2RX1/HHEX/RPL35/ALDOC/MTA1/SRSF5/SLC2A3/VPS53/NOP2/RBM6/HIPK2/PHB2/GABARAPL1/ATG2A/RPL12/SESN2/RNF139/TPT1/SSH2/SF3B5/TP53INP1/TMC6"
"VEGF","C7","GSE360_HIGH_VS_LOW_DOSE_B_MALAYI_MAC_UP","GSE360_HIGH_VS_LOW_DOSE_B_MALAYI_MAC_UP",152,0.365990278,0.791147098,0.706457926,0.925531789,0.895096223,1957,"tags=23%, list=16%, signal=20%","IGSF6/TLE2/ANK3/ATMIN/ADCY3/PSMB6/RABGGTA/PGD/GCDH/STIP1/TAF11/XPNPEP1/GNPAT/UBA1/EIF4A1/MISP/PFDN1/PIAS4/HSBP1/PCSK5/ABCB1/UQCRC1/SAP18/RBM17/DDX3X/COL16A1/EIF3G/RELN/SVEP1/TRIM21/ALDH1L1/GTF2B/UCHL1/SPC25/MBOAT7"
"VEGF","C7","GSE17721_PAM3CSK4_VS_GADIQUIMOD_16H_BMDC_UP","GSE17721_PAM3CSK4_VS_GADIQUIMOD_16H_BMDC_UP",146,-0.340779492,-0.787799023,0.701244813,0.925531789,0.895096223,1433,"tags=14%, list=12%, signal=13%","USP34/RIC8A/HMGN3/PTS/SRSF11/TRIM13/ATP13A3/DYRK1A/USP5/SNRNP70/IGFLR1/MED12L/STX6/CRTC3/NPEPPS/RPS11/TPT1/CD79A/TSPAN33/RP9/CIITA"
"VEGF","C7","GSE30962_PRIMARY_VS_SECONDARY_ACUTE_LCMV_INF_CD8_TCELL_DN","GSE30962_PRIMARY_VS_SECONDARY_ACUTE_LCMV_INF_CD8_TCELL_DN",137,-0.344304173,-0.786617861,0.70625,0.925531789,0.895096223,547,"tags=7%, list=5%, signal=6%","RGS2/NOD1/MTERF1/PRRC2B/COQ8A/KLHL42/CP/STAP1/CCDC158"
"VEGF","C7","GSE2770_TGFB_AND_IL4_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_6H_UP","GSE2770_TGFB_AND_IL4_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_6H_UP",137,-0.344018479,-0.785965146,0.70625,0.925531789,0.895096223,77,"tags=4%, list=1%, signal=4%","OAZ3/SLC66A3/GPAA1/TFDP2/CHRM4"
"VEGF","C7","GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_6H_UP","GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_6H_UP",148,-0.340931073,-0.784537463,0.705636743,0.925531789,0.895096223,597,"tags=11%, list=5%, signal=11%","ASXL2/IGFLR1/FBXW7/BRCA2/CXXC1/RNF139/HELB/TGDS/GDPD3/PHF21A/EXOC1/MSL2/AREL1/NR6A1/SOX5/PDE7A/CBLB"
