gene,Hugo_Symbol,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000005412,FBL,0.048868063,0.181593052,0.006787533,0.591378546
ENSCAFG00000006929,MIER3,0.048504854,0.150180937,0.006905525,0.594253624
ENSCAFG00000018751,VMAC,-0.04719092,0.182590317,0.00688103,0.594253624
ENSCAFG00000032164,ZNF792,0.040720024,0.204242306,0.006938807,0.594253624
ENSCAFG00000009212,GMDS,-0.043087256,0.188415711,0.006985133,0.594841294
ENSCAFG00000006721,RIMBP2,0.077650036,0.534051167,0.00709016,0.600393195
ENSCAFG00000015708,ACTA2,-0.083570901,0.585295224,0.007152436,0.602283075
ENSCAFG00000001209,CDC23,0.04200022,0.183613549,0.007371672,0.602366598
ENSCAFG00000015444,DMXL2,0.038917974,0.211955592,0.007356372,0.602366598
ENSCAFG00000016948,LTBP2,-0.084238298,0.60376838,0.007386305,0.602366598
ENSCAFG00000019387,SKI,-0.047897478,0.171133192,0.007417653,0.602366598
ENSCAFG00000023821,CYP2F1,0.064305855,0.439404122,0.007257606,0.602366598
ENSCAFG00000031563,GFY,0.068981252,0.475449137,0.007313896,0.602366598
ENSCAFG00000046612,NA,-0.040709113,0.186192033,0.007433171,0.602366598
ENSCAFG00000003679,C15H16orf87,-0.043421128,0.17883183,0.007492543,0.603114262
ENSCAFG00000029671,NA,0.044015242,0.176837143,0.007562436,0.603114262
ENSCAFG00000049717,NA,-0.051905975,0.353039627,0.007555246,0.603114262
ENSCAFG00000007579,PIK3CB,0.04293012,0.177923474,0.007607691,0.603530154
ENSCAFG00000003800,PPFIA3,0.054305952,0.375864714,0.007750146,0.608921207
ENSCAFG00000010104,GANC,-0.043877947,0.172094242,0.007902536,0.608921207
ENSCAFG00000013087,PATZ1,-0.046294337,0.156931386,0.0078835,0.608921207
ENSCAFG00000017884,INO80C,0.046561556,0.157628828,0.007827392,0.608921207
ENSCAFG00000017961,NA,0.043683008,0.172212274,0.007918036,0.608921207
ENSCAFG00000019851,ELAPOR1,-0.042639246,0.282137618,0.007903922,0.608921207
ENSCAFG00000010171,PHKG1,-0.03801995,0.185539341,0.00796393,0.609341709
ENSCAFG00000016964,MAZ,-0.045622615,0.165162739,0.008006131,0.609476796
ENSCAFG00000032762,NA,0.039599373,0.259124191,0.008222998,0.613707236
ENSCAFG00000046231,NA,-0.045921393,0.31568741,0.008108309,0.613707236
ENSCAFG00000046415,NA,-0.043686815,0.168504499,0.008162663,0.613707236
ENSCAFG00000046926,NA,-0.036671627,0.187451676,0.008224565,0.613707236
ENSCAFG00000001186,BRD8,0.039609716,0.174212378,0.008286201,0.615260603
ENSCAFG00000010807,PDCD4,-0.039581852,0.262115602,0.008358129,0.617559172
ENSCAFG00000017039,TAOK2,-0.040265454,0.13341464,0.008465687,0.62245509
ENSCAFG00000013473,FRMD5,0.0414224,0.284118904,0.008540468,0.624905208
ENSCAFG00000010654,AGPAT3,-0.06581281,0.488841746,0.008729207,0.635629621
ENSCAFG00000005254,IL17RE,0.040856912,0.164031976,0.0088898,0.643934774
ENSCAFG00000049909,NA,0.049011745,0.35668808,0.008928705,0.643934774
ENSCAFG00000013500,LTBP3,-0.034028383,0.195921237,0.008975363,0.644217397
ENSCAFG00000007918,NA,0.040477773,0.160997096,0.009166761,0.654836909
ENSCAFG00000019405,PLCH2,0.05310526,0.396326697,0.009272407,0.659259396
ENSCAFG00000014356,CCDC96,-0.040914098,0.29681912,0.009511986,0.672276036
ENSCAFG00000019269,MXRA8,-0.049352499,0.370933034,0.009589289,0.672276036
ENSCAFG00000019621,CCDC78,-0.033617215,0.173213748,0.009588589,0.672276036
ENSCAFG00000033364,NA,-0.060710711,0.468518171,0.009684706,0.675822128
ENSCAFG00000020002,EXTL2,-0.036461455,0.161514316,0.009818993,0.67997112
ENSCAFG00000041176,NA,-0.033381292,0.169833291,0.009834386,0.67997112
ENSCAFG00000017682,COG7,-0.03887271,0.148592378,0.010083492,0.690856697
ENSCAFG00000028915,RWDD3,-0.038254704,0.154456128,0.010058253,0.690856697
ENSCAFG00000006334,GRTP1,-0.031422999,0.176998221,0.010224591,0.697354113
ENSCAFG00000013195,EFEMP2,-0.057390203,0.45296846,0.0103251,0.701037093
ENSCAFG00000003849,OSBPL9,-0.036696221,0.134430708,0.010444471,0.702810306
ENSCAFG00000008860,PAQR3,0.037061189,0.153598843,0.010402043,0.702810306
ENSCAFG00000006196,CPNE4,0.065504499,0.543989616,0.010566426,0.7051915
ENSCAFG00000016625,ZNF689,-0.037174195,0.150433014,0.010573428,0.7051915
ENSCAFG00000015381,CCND2,-0.032745417,0.230391772,0.010621006,0.705244131
ENSCAFG00000008933,NLRC5,0.03484747,0.256476729,0.010739987,0.706916276
ENSCAFG00000009003,DDX60,0.052571845,0.417681674,0.010725471,0.706916276
ENSCAFG00000000874,THBS2,-0.061482911,0.511713417,0.011058731,0.714918569
ENSCAFG00000005852,NA,0.055695629,0.452140994,0.011050947,0.714918569
ENSCAFG00000007959,EMC4,0.035053302,0.129976687,0.010951101,0.714918569
ENSCAFG00000009409,ECI2,-0.036211406,0.144195525,0.011109024,0.714918569
ENSCAFG00000010570,NA,-0.029871047,0.174456059,0.010981046,0.714918569
ENSCAFG00000045229,NA,0.056720441,0.463920722,0.011146146,0.714918569
ENSCAFG00000000446,PTPRB,0.042615106,0.33922954,0.01137349,0.718924907
ENSCAFG00000000451,LGR5,-0.058440506,0.490496598,0.011525034,0.718924907
ENSCAFG00000008300,ZNF395,-0.0296201,0.163475133,0.011491109,0.718924907
ENSCAFG00000015298,CD38,-0.046411948,0.374094047,0.011430185,0.718924907
ENSCAFG00000024864,NA,0.053704174,0.440529538,0.011424455,0.718924907
ENSCAFG00000031353,BST2,0.043903343,0.353120348,0.011542482,0.718924907
ENSCAFG00000048823,NA,0.035157779,0.138527108,0.011539826,0.718924907
ENSCAFG00000049541,NA,-0.037418224,0.294035826,0.011607479,0.719998089
ENSCAFG00000001282,ETF1,0.031531627,0.151607549,0.011894925,0.732915267
ENSCAFG00000001873,TCP11L2,-0.028744482,0.16286521,0.011912973,0.732915267
ENSCAFG00000000370,NA,0.030369554,0.147989639,0.012644366,0.738715248
ENSCAFG00000001345,MATR3,0.02761,0.105405293,0.012611587,0.738715248
ENSCAFG00000006515,PTDSS2,0.032147535,0.144970252,0.012490509,0.738715248
ENSCAFG00000009893,DTNBP1,-0.031865953,0.14439447,0.01263847,0.738715248
ENSCAFG00000010685,SINHCAF,-0.027753078,0.179795218,0.012207561,0.738715248
ENSCAFG00000013292,RNASEH2C,-0.030920367,0.147707208,0.012523401,0.738715248
ENSCAFG00000016620,SYNJ2BP,-0.023613598,0.089941471,0.012534989,0.738715248
ENSCAFG00000019495,SPSB3,-0.03247995,0.143128147,0.01255913,0.738715248
ENSCAFG00000020190,ZNF644,-0.031685825,0.121160502,0.012161534,0.738715248
ENSCAFG00000030252,FAM131C,-0.041736006,0.346316613,0.012561792,0.738715248
ENSCAFG00000038146,NA,-0.028307661,0.155410495,0.012584271,0.738715248
ENSCAFG00000042246,NA,-0.028512834,0.159585485,0.012201578,0.738715248
ENSCAFG00000046699,MACROD2,-0.030777317,0.234725503,0.01243001,0.738715248
ENSCAFG00000004789,CDC123,0.031295207,0.122414031,0.012696882,0.738919296
ENSCAFG00000010761,TPST1,-0.03042187,0.144800797,0.013030646,0.755426624
ENSCAFG00000005683,NA,0.029981312,0.144107211,0.013254527,0.756763225
ENSCAFG00000013065,ZBTB46,-0.033555564,0.273267088,0.013121114,0.756763225
ENSCAFG00000039837,NA,0.046695424,0.402371594,0.013239967,0.756763225
ENSCAFG00000047615,NA,-0.029926116,0.145007963,0.013154705,0.756763225
ENSCAFG00000041318,RAB40C,-0.030672546,0.123475479,0.013381151,0.761109763
ENSCAFG00000001302,NA,0.028937431,0.140541076,0.014074602,0.767157803
ENSCAFG00000005869,IK,0.027811836,0.110408743,0.013750521,0.767157803
