gene,Hugo_Symbol (add = in front),log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000029554,NA,-0.050903035,0.15250752,0.005094589,0.421060484
ENSCAFG00000046073,NA,0.134082038,0.541008675,0.005151614,0.421060484
ENSCAFG00000006908,ANKRD55,-0.246219489,0.933001095,0.005200884,0.422789712
ENSCAFG00000008495,GINS3,0.061426192,0.120106024,0.005271703,0.426242702
ENSCAFG00000012691,KMT2A,-0.055395836,0.232787998,0.0053651,0.431474576
ENSCAFG00000000564,SCO2,0.051594233,0.144084747,0.005399101,0.431899359
ENSCAFG00000005072,FBXL3,-0.047020815,0.168675714,0.005462083,0.432565739
ENSCAFG00000015163,CFP,0.202604726,0.789441635,0.005464957,0.432565739
ENSCAFG00000023702,LEMD3,0.049929224,0.145220674,0.005496643,0.432795907
ENSCAFG00000001007,FBXO32,-0.103317132,0.443373106,0.005659187,0.439500356
ENSCAFG00000001986,TMEM151B,-0.224693044,0.879565204,0.005636238,0.439500356
ENSCAFG00000002756,STAP1,-0.187672711,0.751688734,0.005815584,0.439500356
ENSCAFG00000003227,EEPD1,0.147984694,0.605638269,0.005677417,0.439500356
ENSCAFG00000005537,NA,0.048753246,0.201745292,0.005776374,0.439500356
ENSCAFG00000007783,XRN1,-0.05695493,0.131798925,0.005813889,0.439500356
ENSCAFG00000031848,NA,0.098212287,0.426548203,0.005775576,0.439500356
ENSCAFG00000031870,RNF125,-0.091971215,0.401971085,0.005756528,0.439500356
ENSCAFG00000003369,PTN,-0.266941883,1.119066051,0.005850708,0.439944007
ENSCAFG00000001474,NA,0.054227509,0.238276183,0.005908497,0.44207902
ENSCAFG00000025044,NA,-0.051578421,0.135965947,0.005965993,0.444171158
ENSCAFG00000013183,SP9,-0.066461321,0.301136956,0.00605848,0.446634705
ENSCAFG00000032405,NPAS1,0.093923231,0.4156686,0.00605197,0.446634705
ENSCAFG00000013979,BCL2A1,0.167801392,0.690920444,0.006111246,0.448326966
ENSCAFG00000010997,CD80,0.100224326,0.442741511,0.00617472,0.450784513
ENSCAFG00000013864,NA,0.049122001,0.134546677,0.006291416,0.451060273
ENSCAFG00000028456,CD83,0.236876931,0.970748974,0.006210768,0.451060273
ENSCAFG00000043343,NA,-0.125936308,0.541959074,0.006260391,0.451060273
ENSCAFG00000044597,NA,-0.048516611,0.212750986,0.006298468,0.451060273
ENSCAFG00000005505,PGM2L1,-0.047150684,0.209544321,0.006569431,0.451632165
ENSCAFG00000007257,DRAM1,0.049538385,0.222509718,0.006473627,0.451632165
ENSCAFG00000013739,TET1,-0.118688408,0.518842779,0.006429712,0.451632165
ENSCAFG00000014403,SORCS2,0.223497159,0.928142566,0.006482171,0.451632165
ENSCAFG00000015689,OTUD5,-0.042816945,0.143511972,0.006552656,0.451632165
ENSCAFG00000017986,DYNC1H1,-0.047534167,0.135322026,0.006377001,0.451632165
ENSCAFG00000019537,C8G,-0.133164276,0.573211476,0.006431569,0.451632165
ENSCAFG00000019685,CARD9,0.093143129,0.422764975,0.00657673,0.451632165
ENSCAFG00000029145,PROKR1,-0.205730868,0.852118459,0.006497862,0.451632165
ENSCAFG00000003625,FCGRT,0.117529694,0.520929551,0.006716281,0.452942354
ENSCAFG00000009496,NAB1,0.046719481,0.208723587,0.006669376,0.452942354
ENSCAFG00000030423,AIFM3,0.063442462,0.297870682,0.006700735,0.452942354
ENSCAFG00000045372,NA,0.07695906,0.357886814,0.006688024,0.452942354
ENSCAFG00000017383,APOOL,-0.045312719,0.133517016,0.006762368,0.453701397
ENSCAFG00000031198,SH2B2,0.124839719,0.550564513,0.006787872,0.453701397
ENSCAFG00000005178,HNMT,0.225753777,0.968502205,0.006852717,0.455113711
ENSCAFG00000013452,HOXD4,-0.101569534,0.461896508,0.006869527,0.455113711
