gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000010268,MAB21L2,474.2081352,-0.011958581,0.095695291,0.701748653,0.995206357
ENSCAFG00000042485,SRRM2,21.28320515,-0.011963462,0.100483223,0.626503795,0.994115698
ENSCAFG00000019274,LETM1,265.2668124,-0.011983048,0.100673381,0.622246639,0.993917463
ENSCAFG00000002372,TRPM3,418.1327103,-0.011990071,0.111489094,0.470048555,0.972668611
ENSCAFG00000013276,ADIPOR1,1987.627863,-0.011991318,0.09642557,0.692253813,0.995206357
ENSCAFG00000002100,TRERF1,20.08025215,-0.011996297,0.212504702,0.471770203,0.972668611
ENSCAFG00000007683,MRPS31,42.37845792,-0.011999671,0.166942404,0.413092007,0.959726128
ENSCAFG00000004530,CLSPN,1009.392249,-0.012003915,0.099268318,0.648398908,0.995206357
ENSCAFG00000049547,NA,10.54552601,-0.012006157,0.131069005,0.405844111,0.957564519
ENSCAFG00000017644,NR0B1,1579.273994,-0.012008154,0.105026638,0.54027387,0.985611104
ENSCAFG00000030473,NEO1,204.0993797,-0.012009408,0.095752286,0.699941714,0.995206357
ENSCAFG00000048837,NA,129.3326932,-0.012009645,0.104491149,0.548886968,0.985611104
ENSCAFG00000018740,GPC2,1324.158239,-0.012009921,0.084492572,0.764869505,0.998894062
ENSCAFG00000005489,CNBP,155.8818058,-0.012021518,0.097770973,0.67285943,0.995206357
ENSCAFG00000005019,FAT4,732.2372864,-0.012034609,0.154326469,0.402136805,0.957167678
ENSCAFG00000005966,CDK5,403.1317347,-0.012035597,0.092869746,0.726452783,0.995949216
ENSCAFG00000009550,FBXL17,1562.060931,-0.012044439,0.094873721,0.708628631,0.995206357
ENSCAFG00000007912,DCN,3272.63737,-0.012046953,0.090709397,0.740414631,0.997455647
ENSCAFG00000002663,TFPI2,2288.382752,-0.012058576,0.102825718,0.577518343,0.986228565
ENSCAFG00000015961,C18H11orf80,2063.374415,-0.012063131,0.089817401,0.744837346,0.997984235
ENSCAFG00000013076,NFRKB,2663.225661,-0.012063504,0.099687593,0.639185149,0.994202494
ENSCAFG00000000834,SLC44A4,151.6737532,-0.012082855,0.200397388,0.451692744,0.970427793
ENSCAFG00000011254,NNAT,311.0388876,-0.0120831,0.097851803,0.670134275,0.995206357
ENSCAFG00000016557,RBBP8NL,825.8837062,-0.012088638,0.10951341,0.48347832,0.974718297
ENSCAFG00000037644,GOLPH3,8.27607493,-0.012090882,0.150305689,0.398442699,0.955027499
ENSCAFG00000009477,CAMK4,2725.948448,-0.012092536,0.100377641,0.625205601,0.994115698
ENSCAFG00000012967,RAD54L2,1590.913047,-0.012099641,0.097310037,0.677792883,0.995206357
ENSCAFG00000031330,MBD3L1,198.3796626,-0.012102394,0.178913421,0.422621376,0.96239151
ENSCAFG00000017100,SCAP,66.22872353,-0.012103082,0.115445093,0.443040938,0.970427793
ENSCAFG00000008875,TUB,1046.010489,-0.012104735,0.107065291,0.509122324,0.982929953
ENSCAFG00000008707,SCYL2,9.532795513,-0.012112742,0.109958253,0.478815724,0.973638493
ENSCAFG00000022717,CECR2,49855.51624,-0.012119718,0.107864076,0.499327686,0.979110539
ENSCAFG00000019285,FMO2,137.2542353,-0.012123927,0.096315904,0.690561743,0.995206357
ENSCAFG00000012928,ATP6V1B2,195.0725225,-0.012127438,0.1094864,0.482632026,0.974278035
ENSCAFG00000025502,HSD3B7,243.9634215,-0.012130852,0.115430119,NA,NA
ENSCAFG00000006203,RHEB,543.3483959,-0.012142198,0.102577783,0.580051092,0.986993711
ENSCAFG00000006771,NA,30.39842562,-0.012145591,0.099254406,0.645074437,0.995206357
ENSCAFG00000013729,NA,85.23180873,-0.012147217,0.104382851,0.546898639,0.985611104
ENSCAFG00000008387,PGGHG,1410.310648,-0.012148243,0.102010801,0.591092117,0.987787025
ENSCAFG00000006498,EGLN2,334.7233547,-0.012149299,0.100233378,0.626552012,0.994115698
ENSCAFG00000003459,HSPBP1,1161.107692,-0.012154846,0.099327234,0.643519975,0.995206357
ENSCAFG00000016022,SYCP2,14.89921924,-0.012158219,0.110917099,0.469604528,0.972668611
ENSCAFG00000005721,C9H17orf80,204.8929739,-0.012158862,0.098124063,0.664024513,0.995206357
ENSCAFG00000018472,DNAJC10,314.3422144,-0.012168723,0.094614912,0.708463445,0.995206357
ENSCAFG00000007468,ZNF385D,3802.809472,-0.012169673,0.095581318,0.698254277,0.995206357
ENSCAFG00000004858,PUM2,6291.837097,-0.012175339,0.09945906,0.640587156,0.994993451
ENSCAFG00000009763,ZNF507,91.71517023,-0.012185251,0.111002065,0.468179928,0.972668611
ENSCAFG00000016034,KLHL41,6295.305974,-0.012187399,0.105945715,0.521599537,0.98557896
ENSCAFG00000007747,GPCPD1,176.8025868,-0.012189898,0.101674468,0.596724126,0.987787025
ENSCAFG00000041000,MCF2,9.066011434,-0.012192787,0.105033571,0.535049075,0.985611104
ENSCAFG00000004751,TUT4,255.2583766,-0.012194935,0.110694245,0.470337524,0.972668611
ENSCAFG00000010230,TRPA1,3155.464493,-0.012196826,0.093035477,0.721760861,0.995949216
ENSCAFG00000001324,SEPTIN3,14392.99268,-0.012197483,0.093241205,0.720106166,0.995949216
ENSCAFG00000017011,ATF7IP,2196.484254,-0.012203677,0.099718814,0.635024811,0.994115698
ENSCAFG00000012689,CD47,1948.708748,-0.012204299,0.100746498,0.615000451,0.991046115
ENSCAFG00000007263,HNRNPL,14.58139628,-0.012212432,0.109891505,0.476595701,0.973509371
ENSCAFG00000048389,NA,9.791842626,-0.012220368,0.103905285,0.553141953,0.985611104
ENSCAFG00000029355,STON2,770.9707585,-0.012220619,0.098149396,0.662116113,0.995206357
ENSCAFG00000006532,CXCR4,725.460742,-0.012221379,0.146414477,0.39325872,0.953456638
ENSCAFG00000000946,SYBU,614.6233054,-0.01222165,0.161699173,0.400971649,0.956138991
ENSCAFG00000015160,MNDA,4.232381026,-0.01222246,0.122849388,0.413485991,0.959726128
ENSCAFG00000022333,ZBTB17,6.333001744,-0.012225907,0.102922908,0.571115175,0.985611104
ENSCAFG00000019538,VWF,2761.893425,-0.01222636,0.09541098,0.698881483,0.995206357
ENSCAFG00000047045,C5H16orf70,136.4578984,-0.012226569,0.092903495,0.72216131,0.995949216
ENSCAFG00000047010,HSF4,20.46178777,-0.01223009,0.155758159,0.39656205,0.953456638
ENSCAFG00000018010,KIF18B,4556.42353,-0.012243284,0.099292555,0.641925825,0.994993451
ENSCAFG00000019045,TMEM235,1143.232645,-0.012243799,0.102846244,0.572103848,0.985611104
ENSCAFG00000030202,EPG5,214.0759212,-0.012250954,0.104346068,0.544675337,0.985611104
ENSCAFG00000019829,WAS,574.5417782,-0.012263625,0.1015861,0.596548767,0.987787025
ENSCAFG00000011663,LXN,660.6769027,-0.012269113,0.096133473,0.689487814,0.995206357
ENSCAFG00000008607,ADGRD1,17.90281427,-0.01226927,0.160973252,0.398831651,0.955282271
ENSCAFG00000006042,GAB2,2308.331795,-0.012274034,0.099626407,0.63497695,0.994115698
ENSCAFG00000045175,SLC38A8,7.805223506,-0.012277925,0.143015073,0.391325903,0.953456638
ENSCAFG00000019187,NA,1101.163822,-0.012282384,0.182408624,0.420619689,0.961576439
ENSCAFG00000018879,HGFAC,3689.709841,-0.012286153,0.097611564,0.668912977,0.995206357
ENSCAFG00000000810,NA,852.4349721,-0.012287309,0.110584973,0.468632296,0.972668611
