,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000075,TNFRSF11A,500.1545526,-4.007915329,1.047984252,-3.824404155,0.000131089,0.01752466
ENSCAFG00000000076,PYM1,806.2264721,0.008657056,0.340602934,0.025416856,0.979722466,0.998996746
ENSCAFG00000000078,DGKA,4224.407262,0.409938291,0.547192338,0.749166722,0.453756724,0.921446902
ENSCAFG00000000079,RELCH,821.0544168,0.075126788,0.390697868,0.192288707,0.847516064,0.990155238
ENSCAFG00000000080,PMEL,53.47306944,0.740394689,0.520977744,1.42116376,0.155269157,0.753482677
ENSCAFG00000000081,NA,413.1153461,0.327593412,0.361641813,0.905850485,0.365014995,0.899417106
ENSCAFG00000000082,CDK2,1186.28035,0.084880782,0.261776796,0.324248685,0.745749766,0.981212419
ENSCAFG00000000083,PIGN,483.5291374,0.054835564,0.41062872,0.133540497,0.893765939,0.993045837
ENSCAFG00000000086,CDH20,0.175118266,-0.983903718,3.11653965,-0.315703899,0.752227267,NA
ENSCAFG00000000087,RAB5B,1598.197802,0.411350948,0.421533034,0.975845106,0.329141229,0.880764636
ENSCAFG00000000088,SUOX,561.0130643,-0.012458378,0.483353815,-0.025774862,0.979436912,0.998996746
ENSCAFG00000000089,NA,0,NA,NA,NA,NA,NA
ENSCAFG00000000090,MC4R,0,NA,NA,NA,NA,NA
ENSCAFG00000000093,CCBE1,169.411318,-0.114113339,1.423335792,-0.080173168,0.93609953,0.996726862
ENSCAFG00000000094,LMAN1,5657.461627,0.247012931,0.366988147,0.673081497,0.500895444,0.933602491
ENSCAFG00000000096,CPLX4,0.093025246,0.45877264,3.11653965,0.147205777,0.882969601,NA
ENSCAFG00000000097,ERBB3,271.4556336,1.832384776,1.261644,1.452378624,NA,NA
ENSCAFG00000000098,RAX,1.446399416,-3.438703141,1.645835463,-2.089335913,0.036677496,NA
ENSCAFG00000000099,GRP,0,NA,NA,NA,NA,NA
ENSCAFG00000000100,SEC11C,2744.09789,-0.912833773,0.499316412,-1.82816697,0.067524497,0.590052335
ENSCAFG00000000101,NA,0.093134432,0.45877264,3.11653965,0.147205777,0.882969601,NA
ENSCAFG00000000102,PA2G4,12716.63939,-0.16373218,0.241808202,-0.677115906,0.498332418,0.933602491
ENSCAFG00000000103,ZNF532,807.9199814,0.283072078,1.113487931,0.254221056,0.799324785,0.984632879
ENSCAFG00000000105,MALT1,933.5015478,-0.283413399,0.404618269,-0.700446374,0.483648584,0.928022871
ENSCAFG00000000107,ALPK2,2061.889418,0.241601701,1.386628113,0.17423684,0.861679334,0.991571497
ENSCAFG00000000108,ESYT1,6376.519678,-0.391292935,0.47937468,-0.816256993,0.414353166,0.910767467
ENSCAFG00000000109,SMARCC2,4054.680022,-0.373905237,0.268489069,-1.392627409,0.16373249,0.767873019
ENSCAFG00000000110,MYL6B,360.8693513,0.011300352,0.550585432,0.020524249,0.983625169,0.999359795
ENSCAFG00000000111,RNF41,727.3515659,-0.056839476,0.2451488,-0.231857045,0.816649048,0.9862388
ENSCAFG00000000113,ANKRD52,2902.012486,-0.060311553,0.441148893,-0.136714733,0.891256284,0.992779909
ENSCAFG00000000115,CS,10636.01525,-0.263098506,0.373189224,-0.705000277,0.480810064,0.927226756
