,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000024,CNDP1,5.337208419,-0.194006218,0.834930813,-0.232362029,0.816256838,0.999191357
ENSCAFG00000000025,DIPK1C,1.136694808,-0.942639727,2.967624933,-0.317641126,0.750757174,NA
ENSCAFG00000000026,CYB5A,2983.210826,-0.936744813,0.636160354,-1.472497944,0.140886462,0.815054684
ENSCAFG00000000027,NA,37.30095559,0.272043649,0.448684741,0.606313575,0.544306546,0.982666201
ENSCAFG00000000028,TIMM21,1436.998747,-0.318211366,0.28253782,-1.126261134,0.260055004,0.898878881
ENSCAFG00000000029,FBXO15,17.60412757,-0.158740522,0.672089932,-0.236189407,0.813285699,0.999191357
ENSCAFG00000000030,NA,90.5461171,-0.031690513,0.247276066,-0.128158432,0.898023595,0.999191357
ENSCAFG00000000031,NETO1,395.6745512,-0.341502156,2.098152454,-0.162763271,0.870704828,0.999191357
ENSCAFG00000000032,CBLN2,4.130061411,0.80819152,2.746939391,0.294215272,NA,NA
ENSCAFG00000000033,NA,73.27052599,-0.012773677,0.270669258,-0.047192937,0.962359457,0.999583173
ENSCAFG00000000034,NA,0,NA,NA,NA,NA,NA
ENSCAFG00000000036,SOCS6,426.6452327,-0.361770037,0.209996088,-1.722746555,0.084934367,0.740605566
ENSCAFG00000000037,RTTN,812.4956906,-0.34196022,0.316266117,-1.081242034,0.279589465,0.910367938
ENSCAFG00000000038,CD226,5.717829568,0.760915079,1.538174482,0.494687104,0.620821006,0.9912651
ENSCAFG00000000039,DOK6,114.3817873,-0.468878716,1.933920512,-0.242449838,0.808431621,0.999191357
ENSCAFG00000000040,CCDC102B,3.339610458,-0.017860005,1.322774569,-0.013501927,0.989227349,0.999812857
ENSCAFG00000000042,NA,10.28096467,-0.031881415,0.460127558,-0.06928821,0.94476021,0.999583173
ENSCAFG00000000043,TMX3,654.6429265,-0.186978276,0.325636537,-0.574193173,0.565837089,0.986579722
ENSCAFG00000000044,NA,7.66274289,0.516957921,0.485138207,1.065588967,0.286609489,0.914317375
ENSCAFG00000000045,NA,6.110730224,-0.106845284,1.120682661,-0.095339464,0.924045198,0.999191357
ENSCAFG00000000047,NA,216.5072999,-0.304297999,1.808236165,-0.168284434,0.866359519,0.999191357
ENSCAFG00000000049,NA,37.30865186,-0.274648049,0.369937079,-0.742418278,0.457833948,0.97360739
ENSCAFG00000000051,NA,0,NA,NA,NA,NA,NA
ENSCAFG00000000052,CDH19,0,NA,NA,NA,NA,NA
ENSCAFG00000000054,NA,237.6296414,0.120785438,0.297927247,0.40541924,0.685169371,0.996423175
ENSCAFG00000000056,CDH7,4.523869086,4.241572145,2.095785243,2.023858198,0.042984744,0.627525116
ENSCAFG00000000058,SERPINB8,1839.461595,0.60383493,1.000153097,0.603742499,0.546014854,0.982666201
ENSCAFG00000000059,SERPINB2,2978.840887,3.125778402,1.608106676,1.94376309,0.051924027,0.656729787
ENSCAFG00000000060,ITGA7,913.4924316,0.02655231,0.854110916,0.031087661,0.97519963,0.999812857
ENSCAFG00000000061,NA,294.9564188,0.308577582,0.466032398,0.662137618,0.507883029,0.982666201
ENSCAFG00000000062,NA,3.347220574,0.238041854,2.729198823,0.087220415,NA,NA
ENSCAFG00000000063,RDH5,302.5539626,-0.197415783,0.53480454,-0.369136326,0.712026114,0.998639729
ENSCAFG00000000064,CD63,12551.82541,0.382408961,0.468692379,0.815906079,0.414553855,0.965839967
ENSCAFG00000000065,GDF11,421.3513985,0.78850729,0.71501292,1.102787472,0.27011947,0.905052342
ENSCAFG00000000066,VPS4B,1917.959426,-0.253435294,0.218303992,-1.160928354,0.245671037,0.896606303
ENSCAFG00000000067,KDSR,488.941397,-0.283997698,0.365210279,-0.77762789,0.436788414,0.972372806
ENSCAFG00000000068,BCL2,216.6840035,-0.231442314,0.491372953,-0.471011506,0.637632518,0.992141653
ENSCAFG00000000069,NA,1359.102282,-0.007545082,0.266967429,-0.028262181,0.977453044,0.999812857
ENSCAFG00000000070,PHLPP1,1078.978183,-0.503729281,0.480106612,-1.049202966,0.294084714,0.9211203
ENSCAFG00000000071,NA,741.5020322,0.301026395,0.20496249,1.468690171,0.141916845,0.815285126
ENSCAFG00000000072,NA,495.1079396,-0.004283766,1.071674008,-0.003997266,0.996810652,0.999812857
ENSCAFG00000000073,ZCCHC2,1170.300763,-0.004334301,0.357998953,-0.012107023,0.99034023,0.999812857
ENSCAFG00000000074,MMP19,932.3781138,0.615758239,1.170182444,0.526207039,0.598744364,0.990285323
ENSCAFG00000000075,TNFRSF11A,509.4287759,2.066368154,1.352207784,1.528143958,NA,NA
ENSCAFG00000000076,PYM1,810.5555796,-0.247222054,0.322009159,-0.767748517,0.442636606,0.972372806
ENSCAFG00000000078,DGKA,3351.899739,-0.599580996,0.490642448,-1.222032458,0.221695353,0.880547728
ENSCAFG00000000079,RELCH,677.6950194,-0.180783473,0.308031636,-0.586899043,0.557271513,0.984731613
ENSCAFG00000000080,PMEL,69.54073937,0.437040542,0.692158382,0.631416961,0.527767929,0.982666201
ENSCAFG00000000081,NA,415.7655673,-0.140287852,0.32467661,-0.432084874,0.665679728,0.994217752
ENSCAFG00000000082,CDK2,1181.595548,0.155455757,0.219841563,0.707126327,0.479487976,0.980666162
ENSCAFG00000000083,PIGN,532.4906053,-0.607159506,0.380229957,-1.596821858,0.110305422,0.781266494
ENSCAFG00000000086,CDH20,14.98168054,5.286151734,2.966500425,1.781948753,NA,NA
ENSCAFG00000000087,RAB5B,1389.379963,0.001915498,0.313350332,0.006112959,0.995122595,0.999812857
ENSCAFG00000000088,SUOX,536.1673519,0.874128025,0.286138003,3.054917616,0.002251224,0.202814773
ENSCAFG00000000089,NA,0,NA,NA,NA,NA,NA
ENSCAFG00000000090,MC4R,0.347087681,-1.947990149,3.085539841,-0.631328795,0.527825563,NA
ENSCAFG00000000093,CCBE1,134.3585673,-1.673043573,1.458411748,-1.147168196,0.251312113,0.89773983
ENSCAFG00000000094,LMAN1,4696.444039,0.102062315,0.408577018,0.249799452,0.802742443,0.999191357
ENSCAFG00000000096,CPLX4,0.223269305,1.379719457,3.113636606,0.443121543,0.657677824,NA
ENSCAFG00000000097,ERBB3,152.0705334,0.204666999,0.871408479,0.234869185,0.814310268,0.999191357
ENSCAFG00000000098,RAX,2.616496175,0.162577246,1.475001994,0.110221713,0.912233543,0.999191357
ENSCAFG00000000099,GRP,0.088446976,-0.505263169,3.11653965,-0.162123132,0.871208891,NA
ENSCAFG00000000100,SEC11C,2816.750303,0.540294573,0.530381111,1.018691206,0.308349589,0.924511013
ENSCAFG00000000101,NA,0,NA,NA,NA,NA,NA
ENSCAFG00000000102,PA2G4,12072.06696,0.440215821,0.253302697,1.737904201,0.082227695,0.735682413
ENSCAFG00000000103,ZNF532,682.9182522,0.633550496,1.553183404,0.407904498,0.68334379,0.996423175
ENSCAFG00000000105,MALT1,791.275726,-0.132142173,0.237563785,-0.556238709,0.57804768,0.987664226
ENSCAFG00000000107,ALPK2,2558.815646,0.03973839,1.588067356,0.025023114,0.980036527,0.999812857
ENSCAFG00000000108,ESYT1,5815.79842,0.39992457,0.470453141,0.850083749,0.395278526,0.959528439
ENSCAFG00000000109,SMARCC2,3625.57528,-0.057473612,0.143233732,-0.401257523,0.688230534,0.996423175
ENSCAFG00000000110,MYL6B,460.6679994,-0.061379126,0.752008964,-0.081620205,0.934948733,0.999191357
ENSCAFG00000000111,RNF41,732.8425916,0.153051961,0.190784908,0.802222581,0.422424217,0.969957855
ENSCAFG00000000113,ANKRD52,2463.023101,0.228734888,0.344135752,0.664664704,0.506264974,0.982666201
ENSCAFG00000000115,CS,10534.32871,0.614528768,0.328092127,1.873037226,0.061063245,0.685821655
ENSCAFG00000000116,NEDD4L,3807.815484,-0.080813806,0.521582079,-0.154939767,0.876868803,0.999191357
ENSCAFG00000000118,NA,2745.130846,0.413626975,0.218420371,1.893719774,0.058262215,0.675954306
ENSCAFG00000000119,PAN2,964.2660637,0.067623946,0.403345285,0.167657709,0.866852569,0.999191357
ENSCAFG00000000120,IL23A,44.6722034,0.341278488,0.779904188,0.437590275,0.661683322,0.994059116
ENSCAFG00000000121,STAT2,1106.557405,0.436726756,0.310358983,1.407166472,0.159378031,0.82909822
ENSCAFG00000000122,APOF,3.604454154,-0.20099118,1.069565725,-0.187918494,0.850940545,0.999191357
ENSCAFG00000000123,ATP8B1,1734.779175,0.53699506,0.857394887,0.62631008,0.531111576,0.982666201
ENSCAFG00000000124,TIMELESS,1478.030564,0.243501136,0.315375969,0.772097942,0.440056421,0.972372806
ENSCAFG00000000125,NARS1,5573.474121,0.214924738,0.272864623,0.787660695,0.430895202,0.972001726
ENSCAFG00000000126,FECH,1422.032294,-0.899576855,0.423166545,-2.125822246,0.033518063,0.580294035
ENSCAFG00000000127,ONECUT2,24.68854002,-1.246619693,1.069769122,-1.165316579,0.243890871,0.896114783
ENSCAFG00000000128,MIP,2.030060386,-1.348889636,1.006580469,-1.340071338,0.180222153,0.845820761
ENSCAFG00000000129,ST8SIA3,0,NA,NA,NA,NA,NA
ENSCAFG00000000130,SPRYD4,327.3955014,0.327325154,0.22603544,1.448114304,0.147585086,0.820582818
ENSCAFG00000000131,GLS2,63.85923777,0.024945861,0.511154708,0.048802957,0.961076326,0.999583173
ENSCAFG00000000132,NA,81.76845078,-0.1593452,0.232204825,-0.686226914,0.492570028,0.982048539
ENSCAFG00000000133,WDR7,1393.832079,0.323229531,0.170879795,1.89156085,0.058549516,0.675954306
ENSCAFG00000000134,RBMS2,714.3117162,-0.253381699,0.841214645,-0.301209329,0.763254876,0.998639729
ENSCAFG00000000135,BAZ2A,2978.169736,0.244835422,0.203237478,1.204676542,0.228328195,0.8875653
ENSCAFG00000000136,ATP5F1B,32643.12953,0.581231248,0.254043734,2.287918062,0.022142293,0.537874286
ENSCAFG00000000137,TXNL1,3750.259835,-0.081111678,0.181893783,-0.445928807,0.655648673,0.992141653
ENSCAFG00000000140,TCF4,1194.603508,-0.126068359,0.671527649,-0.187733683,0.851085424,0.999191357
ENSCAFG00000000141,NACA,13849.11828,0.550568175,0.280431437,1.963289781,0.049612512,0.654292749
ENSCAFG00000000142,NA,808.7012964,0.173946226,0.284716974,0.61094435,0.541236422,0.982666201
ENSCAFG00000000143,HSD17B6,221.8893393,0.697715581,0.591956152,1.178660918,0.238533224,0.894708041
ENSCAFG00000000144,CCDC68,33.67155137,-2.043827297,1.688190793,-1.210661322,0.226025232,0.886164087
ENSCAFG00000000145,RAB27B,20.17106796,-0.367484437,1.64554569,-0.223320713,0.823285907,0.999191357
ENSCAFG00000000147,C1H18orf54,344.9783683,-0.38759466,0.250509896,-1.547222948,0.121809494,0.792938389
ENSCAFG00000000148,RDH16,30.56079692,1.102488922,1.027077812,1.073422976,0.28308138,0.912586969
ENSCAFG00000000149,STARD6,171.6249263,-0.589050767,0.355317657,-1.657814508,0.097354912,0.760745911
ENSCAFG00000000150,POLI,234.1458521,-0.624233866,0.291294545,-2.14296449,0.03211595,0.580294035
ENSCAFG00000000153,NA,216.0931128,-0.205613728,0.32574811,-0.631204667,0.527906711,0.982666201
ENSCAFG00000000156,MYO1A,32.10344652,-0.359861705,0.637905964,-0.564129708,0.572665862,0.987235979
ENSCAFG00000000157,DCC,0.482181941,0.010424564,2.801759373,0.003720721,0.997031301,NA
ENSCAFG00000000158,HSD17B4,1758.848129,-0.199603549,0.237663389,-0.839858212,0.40098789,0.961492028
ENSCAFG00000000159,NEMP1,333.0433661,0.081794297,0.316415716,0.258502636,0.796019015,0.999191357
ENSCAFG00000000160,NAB2,660.4139883,1.031465428,0.520856325,1.980326204,0.047666886,0.645533788
ENSCAFG00000000162,MEX3C,1129.75841,-0.678157842,0.225886818,-3.002201938,0.002680343,0.223543267
